src,dst,edge_type
lane0:F0:s13->s14,rank224:F0,forward_receive
lane0:F0:s14->s15,rank224:F1,blocking_forward_send
lane0:F0:s14->s15,rank240:F0,forward_receive
lane0:F0:s2->s3,rank32:F1,blocking_forward_send
lane0:F0:s2->s3,rank48:F0,forward_receive
lane0:F0:s3->s4,rank48:F1,blocking_forward_send
lane0:F0:s3->s4,rank64:F0,forward_receive
lane0:F0:s4->s5,rank64:F1,blocking_forward_send
lane0:F0:s4->s5,rank80:F0,forward_receive
lane0:F0:s5->s6,rank80:F1,blocking_forward_send
lane0:F0:s5->s6,rank96:F0,forward_receive
lane0:F0:s6->s7,rank112:F0,forward_receive
lane0:F0:s6->s7,rank96:F1,blocking_forward_send
lane0:F0:s7->s8,rank112:F1,blocking_forward_send
lane0:F0:s7->s8,rank128:F0,forward_receive
lane0:F0:s8->s9,rank128:F1,blocking_forward_send
lane0:F0:s8->s9,rank144:F0,forward_receive
lane0:F0:s9->s10,rank144:F1,blocking_forward_send
lane0:F0:s9->s10,rank160:F0,forward_receive
lane0:F1:s0->s1,rank0:F2,blocking_forward_send
lane0:F1:s0->s1,rank16:F1,forward_receive
lane0:F1:s1->s2,rank16:F2,blocking_forward_send
lane0:F1:s1->s2,rank32:F1,forward_receive
lane0:F1:s10->s11,rank160:F2,blocking_forward_send
lane0:F1:s10->s11,rank176:F1,forward_receive
lane0:F1:s11->s12,rank176:F2,blocking_forward_send
lane0:F1:s11->s12,rank192:F1,forward_receive
lane0:F1:s12->s13,rank192:F2,blocking_forward_send
lane0:F1:s12->s13,rank208:F1,forward_receive
lane0:F1:s13->s14,rank208:F2,blocking_forward_send
lane0:F1:s13->s14,rank224:F1,forward_receive
lane0:F1:s14->s15,rank224:B0,blocking_forward_send
lane0:F1:s14->s15,rank240:F1,forward_receive
lane0:F1:s2->s3,rank32:F2,blocking_forward_send
lane0:F1:s2->s3,rank48:F1,forward_receive
lane0:F1:s3->s4,rank48:F2,blocking_forward_send
lane0:F1:s3->s4,rank64:F1,forward_receive
lane0:F1:s4->s5,rank64:F2,blocking_forward_send
lane0:F1:s4->s5,rank80:F1,forward_receive
lane0:F1:s5->s6,rank80:F2,blocking_forward_send
lane0:F1:s5->s6,rank96:F1,forward_receive
lane0:F1:s6->s7,rank112:F1,forward_receive
lane0:F1:s6->s7,rank96:F2,blocking_forward_send
lane0:F1:s7->s8,rank112:F2,blocking_forward_send
lane0:F1:s7->s8,rank128:F1,forward_receive
lane0:F1:s8->s9,rank128:F2,blocking_forward_send
lane0:F1:s8->s9,rank144:F1,forward_receive
lane0:F1:s9->s10,rank144:F2,blocking_forward_send
lane0:F1:s9->s10,rank160:F1,forward_receive
lane0:F2:s0->s1,rank0:F3,blocking_forward_send
lane0:F2:s0->s1,rank16:F2,forward_receive
lane0:F2:s1->s2,rank16:F3,blocking_forward_send
lane0:F2:s1->s2,rank32:F2,forward_receive
lane0:F2:s10->s11,rank160:F3,blocking_forward_send
lane0:F2:s10->s11,rank176:F2,forward_receive
lane0:F2:s11->s12,rank176:F3,blocking_forward_send
lane0:F2:s11->s12,rank192:F2,forward_receive
lane0:F2:s12->s13,rank192:F3,blocking_forward_send
lane0:F2:s12->s13,rank208:F2,forward_receive
lane0:F2:s13->s14,rank208:B0,blocking_forward_send
lane0:F2:s13->s14,rank224:F2,forward_receive
lane0:F2:s14->s15,rank224:B1,blocking_forward_send
lane0:F2:s14->s15,rank240:F2,forward_receive
lane0:F2:s2->s3,rank32:F3,blocking_forward_send
lane0:F2:s2->s3,rank48:F2,forward_receive
lane0:F2:s3->s4,rank48:F3,blocking_forward_send
lane0:F2:s3->s4,rank64:F2,forward_receive
lane0:F2:s4->s5,rank64:F3,blocking_forward_send
lane0:F2:s4->s5,rank80:F2,forward_receive
lane0:F2:s5->s6,rank80:F3,blocking_forward_send
lane0:F2:s5->s6,rank96:F2,forward_receive
lane0:F2:s6->s7,rank112:F2,forward_receive
lane0:F2:s6->s7,rank96:F3,blocking_forward_send
lane0:F2:s7->s8,rank112:F3,blocking_forward_send
lane0:F2:s7->s8,rank128:F2,forward_receive
lane0:F2:s8->s9,rank128:F3,blocking_forward_send
lane0:F2:s8->s9,rank144:F2,forward_receive
lane0:F2:s9->s10,rank144:F3,blocking_forward_send
lane0:F2:s9->s10,rank160:F2,forward_receive
lane0:F3:s0->s1,rank0:B0,blocking_forward_send
lane0:F3:s0->s1,rank16:F3,forward_receive
lane0:F3:s1->s2,rank16:B0,blocking_forward_send
lane0:F3:s1->s2,rank32:F3,forward_receive
lane0:F3:s10->s11,rank160:B0,blocking_forward_send
lane0:F3:s10->s11,rank176:F3,forward_receive
lane0:F3:s11->s12,rank176:B0,blocking_forward_send
lane0:F3:s11->s12,rank192:F3,forward_receive
lane0:F3:s12->s13,rank192:B0,blocking_forward_send
lane0:F3:s12->s13,rank208:F3,forward_receive
lane0:F3:s13->s14,rank208:B1,blocking_forward_send
lane0:F3:s13->s14,rank224:F3,forward_receive
lane0:F3:s14->s15,rank224:B2,blocking_forward_send
lane0:F3:s14->s15,rank240:F3,forward_receive
lane0:F3:s2->s3,rank32:B0,blocking_forward_send
lane0:F3:s2->s3,rank48:F3,forward_receive
lane0:F3:s3->s4,rank48:B0,blocking_forward_send
lane0:F3:s3->s4,rank64:F3,forward_receive
lane0:F3:s4->s5,rank64:B0,blocking_forward_send
lane0:F3:s4->s5,rank80:F3,forward_receive
lane0:F3:s5->s6,rank80:B0,blocking_forward_send
lane0:F3:s5->s6,rank96:F3,forward_receive
lane0:F3:s6->s7,rank112:F3,forward_receive
lane0:F3:s6->s7,rank96:B0,blocking_forward_send
lane0:F3:s7->s8,rank112:B0,blocking_forward_send
lane0:F3:s7->s8,rank128:F3,forward_receive
lane0:F3:s8->s9,rank128:B0,blocking_forward_send
lane0:F3:s8->s9,rank144:F3,forward_receive
lane0:F3:s9->s10,rank144:B0,blocking_forward_send
lane0:F3:s9->s10,rank160:F3,forward_receive
lane10:B0:s1->s0,rank10:B0,backward_receive
lane10:B0:s1->s0,rank26:B1,blocking_backward_send
lane10:B0:s10->s9,rank154:B0,backward_receive
lane10:B0:s10->s9,rank170:B1,blocking_backward_send
lane10:B0:s11->s10,rank170:B0,backward_receive
lane10:B0:s11->s10,rank186:B1,blocking_backward_send
lane10:B0:s12->s11,rank186:B0,backward_receive
lane10:B0:s12->s11,rank202:B1,blocking_backward_send
lane10:B0:s13->s12,rank202:B0,backward_receive
lane10:B0:s13->s12,rank218:F3,blocking_backward_send
lane10:B0:s14->s13,rank218:B0,backward_receive
lane10:B0:s14->s13,rank234:F2,blocking_backward_send
lane10:B0:s15->s14,rank234:B0,backward_receive
lane10:B0:s15->s14,rank250:F1,blocking_backward_send
lane10:B0:s2->s1,rank26:B0,backward_receive
lane10:B0:s2->s1,rank42:B1,blocking_backward_send
lane10:B0:s3->s2,rank42:B0,backward_receive
lane10:B0:s3->s2,rank58:B1,blocking_backward_send
lane10:B0:s4->s3,rank58:B0,backward_receive
lane10:B0:s4->s3,rank74:B1,blocking_backward_send
lane10:B0:s5->s4,rank74:B0,backward_receive
lane10:B0:s5->s4,rank90:B1,blocking_backward_send
lane10:B0:s6->s5,rank106:B1,blocking_backward_send
lane10:B0:s6->s5,rank90:B0,backward_receive
lane10:B0:s7->s6,rank106:B0,backward_receive
lane10:B0:s7->s6,rank122:B1,blocking_backward_send
lane10:B0:s8->s7,rank122:B0,backward_receive
lane10:B0:s8->s7,rank138:B1,blocking_backward_send
lane10:B0:s9->s8,rank138:B0,backward_receive
lane10:B0:s9->s8,rank154:B1,blocking_backward_send
lane10:B1:s1->s0,rank10:B1,backward_receive
lane10:B1:s1->s0,rank26:B2,blocking_backward_send
lane10:B1:s10->s9,rank154:B1,backward_receive
lane10:B1:s10->s9,rank170:B2,blocking_backward_send
lane10:B1:s11->s10,rank170:B1,backward_receive
lane10:B1:s11->s10,rank186:B2,blocking_backward_send
lane10:B1:s12->s11,rank186:B1,backward_receive
lane10:B1:s12->s11,rank202:B2,blocking_backward_send
lane10:B1:s13->s12,rank202:B1,backward_receive
lane10:B1:s13->s12,rank218:B2,blocking_backward_send
lane10:B1:s14->s13,rank218:B1,backward_receive
lane10:B1:s14->s13,rank234:F3,blocking_backward_send
lane10:B1:s15->s14,rank234:B1,backward_receive
lane10:B1:s15->s14,rank250:F2,blocking_backward_send
