iteration,pp_stage,behavior,kind,round,group_key,fct_group_id,group_size,observed_ranks,payload_bytes,reference_first_start_ns,reference_ready_ns,reference_group_end_ns,simulated_first_start_ns,simulated_ready_ns,simulated_group_end_ns,reference_tail_after_last_release_ns,simulated_tail_after_last_release_ns,network_tail_shift_ns,group_finish_shift_ns,iteration_drag_ns,hidden_by_slack_ns,downstream_slack_ns,exposure_ratio,fully_hidden,critical_before,critical_after
55,7,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1167,iter55:pp7:edp_ag0:round0:expert_dp_param_allgather:pg=1167,2,2,1887436800,1785477765012196854,1785477765012264648,1785477765066145710,1785477765012196854,1785477765012264648,1785477765076921922,53881062,64657274,10776212,10776212,0,10776212,17336682,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1169,iter55:pp7:edp_ag0:round0:expert_dp_param_allgather:pg=1169,2,2,1887436800,1785477765012210376,1785477765012307453,1785477765068402815,1785477765012210376,1785477765012307453,1785477765079621887,56095362,67314434,11219072,11219072,0,11219072,15367958,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1155,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1155,2,2,1887436800,1785477765171226828,1785477765171282831,1785477765222822457,1785477765171226828,1785477765171282831,1785477765233130382,51539626,61847551,10307925,10307925,0,10307925,17025802,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1157,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1157,2,2,1887436800,1785477765171218688,1785477765171227470,1785477765232243321,1785477765171218688,1785477765171227470,1785477765244446491,61015851,73219021,12203170,12203170,4598232,7604938,7604938,0.3768063544144677,False,False,True
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1159,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1159,2,2,1887436800,1785477765171185692,1785477765171266256,1785477765224307571,1785477765171185692,1785477765171266256,1785477765234915834,53041315,63649578,10608263,10608263,0,10608263,15540688,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1161,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1161,2,2,1887436800,1785477765171232493,1785477765171252331,1785477765224742127,1785477765171232493,1785477765171252331,1785477765235440086,53489796,64187755,10697959,10697959,0,10697959,15106132,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1163,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1163,2,2,1887436800,1785477765171199980,1785477765171238411,1785477765224587854,1785477765171199980,1785477765171238411,1785477765235257743,53349443,64019332,10669889,10669889,0,10669889,15260405,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1165,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1165,2,2,1887436800,1785477765171215775,1785477765171236906,1785477765224217336,1785477765171215775,1785477765171236906,1785477765234813422,52980430,63576516,10596086,10596086,0,10596086,15630923,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1167,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1167,2,2,1887436800,1785477765171232057,1785477765171252998,1785477765226020795,1785477765171232057,1785477765171252998,1785477765236974354,54767797,65721356,10953559,10953559,0,10953559,13827464,0.0,True,False,False
55,7,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1169,iter55:pp7:edp_ag1:round1:expert_dp_param_allgather:pg=1169,2,2,1887436800,1785477765171200132,1785477765171266294,1785477765223893318,1785477765171200132,1785477765171266294,1785477765234418723,52627024,63152429,10525405,10525405,0,10525405,15954941,0.0,True,False,False
