arrival_wait_ns,group_key,service_ns,end_ns,group_size,completion_advance_ns,start_ns,group_first_start_ns,round,rank,iteration,pp_stage,group_ready_ns,group_end_ns,kind,behavior,observed_ranks,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
74099,dp_param_allgather:pg=1,11780520,1785477765038649146,16,18146,1785477765026812673,1785477765026058723,0,10,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,30136416,1785477765020996350,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,18146,trace_group_end_lag_clamped,1785477765035188927
828049,dp_param_allgather:pg=1,11780520,1785477765038646083,16,21209,1785477765026058723,1785477765026058723,0,11,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29382466,1785477765020242400,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,21209,trace_group_end_lag_clamped,1785477765035185864
664917,dp_param_allgather:pg=1,11780520,1785477765038649739,16,17553,1785477765026221855,1785477765026058723,0,12,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29545598,1785477765020405532,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,17553,trace_group_end_lag_clamped,1785477765035189520
392113,dp_param_allgather:pg=1,11780520,1785477765038605768,16,61524,1785477765026494659,1785477765026058723,0,13,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29818402,1785477765020678336,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,61524,trace_group_end_lag_clamped,1785477765035145549
375354,dp_param_allgather:pg=1,11780520,1785477765038651383,16,15909,1785477765026511418,1785477765026058723,0,14,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,29835161,1785477765020695095,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,15909,trace_group_end_lag_clamped,1785477765035191164
0,dp_param_allgather:pg=1,11780520,1785477765038647609,16,19683,1785477765026886772,1785477765026058723,0,15,55,0,1785477765026886772,1785477765038667292,dp_ag0,dp_param_allgather,16,148986880,world_rs_done,30210515,1785477765021070449,1785477765021070449,1785477765020242400,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,mock_oisa_scale_1.2,14964673,828049,14136624,14964673,14136624,1785477765035207073,19683,trace_group_end_lag_clamped,1785477765035187390
3061404,dp_param_allgather:pg=1,11548154,1785477765089457742,16,0,1785477765074848184,1785477765074595964,1,0,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22630339,1785477765074097075,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,0,trace_group_end_lag_clamped,1785477765091436495
2192154,dp_param_allgather:pg=1,11548154,1785477765089456755,16,987,1785477765075717434,1785477765074595964,1,1,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22343911,1785477765075194695,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,987,trace_group_end_lag_clamped,1785477765091435508
2806652,dp_param_allgather:pg=1,11548154,1785477765089417944,16,39798,1785477765075102936,1785477765074595964,1,2,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22719395,1785477765074387372,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,39798,trace_group_end_lag_clamped,1785477765091396697
3313624,dp_param_allgather:pg=1,11548154,1785477765089457467,16,275,1785477765074595964,1785477765074595964,1,3,55,0,1785477765077909588,1785477765089457742,dp_ag1,dp_param_allgather,16,148986880,same_rank_edp_ag0,22718616,1785477765073775839,1785477765077578710,1785477765073775839,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-14d6fcda815c,mock_oisa_scale_1.2,17660656,3802871,13857785,17660656,13857785,1785477765091436495,275,trace_group_end_lag_clamped,1785477765091436220
