scenario,iteration,step_start_ns,observed_profiler_step_ms,predicted_profiler_step_ms,profiler_replay_error_ms,profiler_replay_error_pct,observed_training_log_ms,predicted_training_log_ms,training_log_replay_error_ms,actual_mfu_pct_fixed_flops,predicted_mfu_pct,pp_front_observed_ms_p50,pp_front_predicted_ms_p50,pp_front_replay_error_pct_p50,first_rs_offset_ms,gradient_rs_done_offset_ms,first_ag0_offset_ms,last_ag_offset_ms,all_dp_service_exposed_ms,service_marginals_available,model_flops_per_iteration,world_size,peak_tflops_per_gpu
trace_reference,55,1785477743653151360,21638.095425,21616.235827,-21.859598,-0.1010236694618884,22940.1,22918.240402,-21.859598,4.406486458210731,4.410689399661704,20024.309496,19993.7521805,-0.1526010947149316,9529.302888,21321.665236,21350.195957,21586.697027,224.741171,True,1.293891072e+17,256,500.0
mock_oisa_x1.2,55,1785477743653151360,21638.095425,21661.715857,23.620432,0.10916132652187895,22940.1,22963.720432,23.620432,4.406486458210731,4.401953955994756,20024.309496,19993.7521805,-0.1526010947149316,9529.302888,21337.708702,21366.239423,21632.177057,270.221201,True,1.293891072e+17,256,500.0
