iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,completion_model,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1043,2,2,1785477765089445428,1785477765089463702,1785477765102735576,1785477765091424181,1785477765091442455,1785477765107368704,13271874,15926249,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1043,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1043:rel-241f7ef3644e,mock_oisa_scale_1.2,15944523,15926249,15944523,trace_group_end_lag_clamped,5960,10200,471859200.0,18274,18274,13290148,15944523
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1045,2,2,1785477765089442022,1785477765089461155,1785477765102711887,1785477765091420775,1785477765091439908,1785477765107340786,13250732,15900878,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1045,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1045:rel-dfa3503839cf,mock_oisa_scale_1.2,15920011,15900878,15920011,trace_group_end_lag_clamped,4400,10520,471859200.0,19133,19133,13269865,15920011
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1047,2,2,1785477765089442784,1785477765089470407,1785477765104056327,1785477765091421537,1785477765091449160,1785477765108952264,14585920,17503104,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1047,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1047:rel-5c6a5ac45538,mock_oisa_scale_1.2,17530727,17503104,17530727,trace_group_end_lag_clamped,24840,27520,471859200.0,27623,27623,14613543,17530727
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1049,2,2,1785477765089443723,1785477765089462027,1785477765103394806,1785477765091422476,1785477765091440780,1785477765108160115,13932779,16719335,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1049,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1049:rel-f1ee8da6f248,mock_oisa_scale_1.2,16737639,16719335,16737639,trace_group_end_lag_clamped,4560,12920,471859200.0,18304,18304,13951083,16737639
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1051,2,2,1785477765089462626,1785477765089477491,1785477765105489414,1785477765091441379,1785477765091456244,1785477765110670552,16011923,19214308,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1051,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1051:rel-d389b0487db2,mock_oisa_scale_1.2,19229173,19214308,19229173,trace_group_end_lag_clamped,19760,21320,471859200.0,14865,14865,16026788,19229173
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1053,2,2,1785477765089404729,1785477765089505916,1785477765103150402,1785477765091383482,1785477765091484669,1785477765107858052,13644486,16373383,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1053,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1053:rel-43ee9ab24684,mock_oisa_scale_1.2,16474570,16373383,16474570,trace_group_end_lag_clamped,9440,54200,471859200.0,101187,101187,13745673,16474570
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1055,2,2,1785477765089414293,1785477765089449412,1785477765102589341,1785477765091393046,1785477765091428165,1785477765107196080,13139929,15767915,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1055,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1055:rel-2f7e76052478,mock_oisa_scale_1.2,15803034,15767915,15803034,trace_group_end_lag_clamped,4480,9080,471859200.0,35119,35119,13175048,15803034
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1057,2,2,1785477765089452690,1785477765089455583,1785477765104106348,1785477765091431443,1785477765091434336,1785477765109015254,14650765,17580918,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1057,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1057:rel-9ccc1afd2bcf,mock_oisa_scale_1.2,17583811,17580918,17583811,trace_group_end_lag_clamped,9720,13600,471859200.0,2893,2893,14653658,17583811
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1043,2,2,1785477764939933722,1785477764940002953,1785477764987992838,1785477764922810619,1785477764922879850,1785477764980467712,47989885,57587862,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043:rel-3edb6df10d0f,mock_oisa_scale_1.2,57657093,57587862,57657093,trace_group_end_lag_clamped,4752649,4828732,1887436800.0,69231,69231,48059116,57657093
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1045,2,2,1785477764940031096,1785477764940091653,1785477764995972646,1785477764922907993,1785477764922968550,1785477764990025742,55880993,67057192,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045:rel-060f3f97d24e,mock_oisa_scale_1.2,67117749,67057192,67117749,trace_group_end_lag_clamped,4877291,4901184,1887436800.0,60557,60557,55941550,67117749
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1047,2,2,1785477764940033207,1785477764940050673,1785477764994172347,1785477764922910104,1785477764922927570,1785477764987873579,54121674,64946009,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047:rel-add20bb4a986,mock_oisa_scale_1.2,64963475,64946009,64963475,trace_group_end_lag_clamped,4873894,4880537,1887436800.0,17466,17466,54139140,64963475
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1049,2,2,1785477764939967555,1785477764940074491,1785477764996664110,1785477764922844452,1785477764922951388,1785477764990858931,56589619,67907543,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049:rel-45e0ac40d9fe,mock_oisa_scale_1.2,68014479,67907543,68014479,trace_group_end_lag_clamped,4807300,4882175,1887436800.0,106936,106936,56696555,68014479
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1051,2,2,1785477764940077959,1785477764940142358,1785477764996676257,1785477764922954856,1785477764923019255,1785477764990859934,56533899,67840679,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051:rel-682953038fbf,mock_oisa_scale_1.2,67905078,67840679,67905078,trace_group_end_lag_clamped,4914171,4951033,1887436800.0,64399,64399,56598298,67905078
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1053,2,2,1785477764939921013,1785477764939948811,1785477764994268100,1785477764922797910,1785477764922825708,1785477764988008855,54319289,65183147,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1053,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1053:rel-1b037775be66,mock_oisa_scale_1.2,65210945,65183147,65210945,trace_group_end_lag_clamped,4734815,4795451,1887436800.0,27798,27798,54347087,65210945
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1055,2,2,1785477764939992139,1785477764940057857,1785477764996506427,1785477764922869036,1785477764922934754,1785477764990673038,56448570,67738284,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1055,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1055:rel-f1d65da828a2,mock_oisa_scale_1.2,67804002,67738284,67804002,trace_group_end_lag_clamped,4881018,4899381,1887436800.0,65718,65718,56514288,67804002
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1057,2,2,1785477764939948843,1785477764940120618,1785477764988301970,1785477764922825740,1785477764922997515,1785477764980815137,48181352,57817622,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057:rel-69f287cc15be,mock_oisa_scale_1.2,57989397,57817622,57989397,trace_group_end_lag_clamped,4790855,4937776,1887436800.0,171775,171775,48353127,57989397
55,1,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,16,1785477765025421845,1785477765026731264,1785477765034387481,1785477765019605522,1785477765020914941,1785477765030102401,7656217,9187460,iter55:pp1:dp_ag0:round0:dp_param_allgather:pg=3,iter55:pp1:dp_ag0:round0:dp_param_allgather:pg=3:rel-6c71aeec094e,mock_oisa_scale_1.2,10496879,9187460,10496879,trace_group_end_lag_clamped,28745588,30055007,98621440.0,1309419,1309419,8965636,10496879
55,1,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,16,1785477765173108621,1785477765181842624,1785477765189167813,1785477765179337272,1785477765189345478,1785477765198135705,7325189,8790227,iter55:pp1:dp_ag1:round1:dp_param_allgather:pg=3,iter55:pp1:dp_ag1:round1:dp_param_allgather:pg=3:rel-a207e230f823,mock_oisa_scale_1.2,18798433,8790227,18798433,trace_group_end_lag_clamped,86088487,88506835,98621440.0,8734003,10008206,16059192,18798433
55,1,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=3,16,16,1785477764374804854,1785477764495891676,1785477764511535011,1785477764341406489,1785477764472857090,1785477764491629092,15643335,18772002,iter55:pp1:dp_rs:round0:dp_grad_reduce_scatter:pg=3,iter55:pp1:dp_rs:round0:dp_grad_reduce_scatter:pg=3:rel-e285e1ed3259,mock_oisa_scale_1.2,150222603,18772002,150222603,trace_group_end_lag_clamped,0,0,3155886080.0,121086822,131450601,136730157,150222603
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1059,2,2,1785477765034375290,1785477765034385545,1785477765088913055,1785477765030090210,1785477765030100465,1785477765095533477,54527510,65433012,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1059,iter55:pp1:edp_ag0:round0:expert_dp_param_allgather:pg=1059:rel-cc60a5310cc1,mock_oisa_scale_1.2,65443267,65433012,65443267,trace_group_end_lag_clamped,10681,38681,1887436800.0,10255,10255,54537765,65443267
