world,iteration,stage,rank,ep_group,mb,local_layer,layer,tokens_per_expert,token_rows,nonempty_experts,max_expert_rows,min_expert_rows,checkpoint_forward_event,checkpoint_sequence,forward_step_event,checkpoint_backward_event,backward_execution_order,backward_step_event,F_FC1_gpu_ms,F_FC1_gemm_ms,F_FC1_gemm_count,F_FC1_gap_ms,F_inter_FC_local_gpu_ms,F_inter_FC_local_gemm_ms,F_inter_FC_local_gemm_count,F_inter_FC_local_gap_ms,F_FC2_gpu_ms,F_FC2_gemm_ms,F_FC2_gemm_count,F_FC2_gap_ms,recompute_FC1_gpu_ms,recompute_FC1_gemm_ms,recompute_FC1_gemm_count,recompute_FC1_gap_ms,backward_FC1_gpu_ms,backward_FC1_gemm_ms,backward_FC1_gemm_count,backward_FC1_gap_ms,recompute_FC2_gpu_ms,recompute_FC2_gemm_ms,recompute_FC2_gemm_count,recompute_FC2_gap_ms,backward_FC2_gpu_ms,backward_FC2_gemm_ms,backward_FC2_gemm_count,backward_FC2_gap_ms,recompute_inter_FC_local_gpu_ms,recompute_inter_FC_local_gemm_ms,recompute_inter_FC_local_gemm_count,recompute_inter_FC_local_gap_ms,backward_inter_FC_local_gpu_ms,backward_inter_FC_local_gemm_ms,backward_inter_FC_local_gemm_count,backward_inter_FC_local_gap_ms,F_FC_gemm_ms,recompute_FC_gemm_ms,backward_FC_gemm_ms,B_FC_gemm_ms
224,60,8,128,"[128, 129, 130, 131, 132, 133, 134, 135]",1,2,33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4920, 0, 0, 0, 4920, 0]",9840,2,4920,0,29606,9310,28211,10365,1,33879,0.8720009765625,0.8720009765625,2,0.004359863281250043,0.422560546875,0.0,0,0.009959472656250024,0.4837607421875,0.4837607421875,2,0.0023999023437500377,0.82456103515625,0.82456103515625,2,0.003959960937499951,1.750361328125,1.750361328125,4,0.008120117187500053,0.48052001953125,0.48052001953125,2,0.0040000000000000036,0.925720703125,0.925720703125,4,0.012560058593749979,0.41103955078125,0.0,0,0.01032031250000004,0.84156103515625,0.0,0,0.02264013671874998,1.35576171875,1.3050810546875,2.67608203125,3.9811630859375002
224,60,8,128,"[128, 129, 130, 131, 132, 133, 134, 135]",1,3,34,"[0, 0, 4660, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 4920, 0, 0, 0, 1432]",11137,5,4920,0,30303,9322,28211,8294,0,33879,1.02872119140625,1.02872119140625,5,0.010839843750000133,0.48176025390625,0.0,0,0.009560058593750032,0.56968017578125,0.56968017578125,5,0.014319824218749999,1.00812109375,1.00812109375,5,0.013879882812499966,2.48680224609375,2.48680224609375,10,0.16483984375000027,0.55668115234375,0.55668115234375,5,0.01019970703124995,1.36692041015625,1.36692041015625,10,0.20256005859374993,0.487759765625,0.0,0,0.011880371093750008,0.95908056640625,0.0,0,0.023920410156250016,1.5984013671875,1.56480224609375,3.8537226562499995,5.41852490234375
224,60,8,128,"[128, 129, 130, 131, 132, 133, 134, 135]",2,0,31,"[0, 4920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 143, 0, 0, 0, 0]",5159,3,4920,0,31040,9336,31039,22800,3,33891,0.54700048828125,0.54700048828125,3,0.005719726562499972,0.18639990234375,0.0,0,0.009760253906249988,0.343240234375,0.343240234375,3,0.003679687499999973,0.5456005859375,0.5456005859375,3,0.006559570312499985,1.35208154296875,1.35208154296875,6,0.017399414062500007,0.329,0.329,3,0.006319824218749992,0.72664111328125,0.72664111328125,6,0.015080078125000007,0.18468017578125,0.0,0,0.15972070312499997,0.45895947265625,0.0,0,0.31620068359375003,0.8902407226562501,0.8746005859375001,2.07872265625,2.9533232421875004
224,60,8,128,"[128, 129, 130, 131, 132, 133, 134, 135]",2,1,32,"[0, 0, 0, 593, 0, 0, 0, 0, 0, 0, 4920, 0, 0, 0, 0, 4920, 0, 0, 0, 0]",10433,3,4920,0,31737,9348,31039,20729,2,33891,1.01936083984375,1.01936083984375,3,0.00412011718750005,0.4526005859375,0.0,0,0.010479492187499995,0.53547998046875,0.53547998046875,3,0.004879882812499958,0.95976025390625,0.95976025390625,3,0.005799804687500076,2.0746025390625,2.0746025390625,6,0.014559570312500103,0.53060009765625,0.53060009765625,3,0.004199707031249944,1.07960107421875,1.07960107421875,6,0.017599609374999936,0.44872021484375,0.0,0,0.009240722656249978,0.893080078125,0.0,0,0.021080078125000012,1.5548408203125,1.4903603515625,3.15420361328125,4.64456396484375
224,60,8,128,"[128, 129, 130, 131, 132, 133, 134, 135]",2,2,33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4803, 0, 0, 0, 4920, 1]",9724,3,4920,0,32434,9360,31039,18658,1,33891,0.9007998046875,0.9007998046875,3,0.00472021484375007,0.4170009765625,0.0,0,0.011080078125000004,0.518240234375,0.518240234375,3,0.004919433593750022,0.93356103515625,0.93356103515625,3,0.004279785156250049,1.95576123046875,1.95576123046875,6,0.01987988281249997,0.51143994140625,0.51143994140625,3,2.0802817382812497,1.03608056640625,1.03608056640625,6,0.016640136718750087,0.4137197265625,0.0,0,0.010680175781250023,0.8507197265625,0.0,0,0.69852099609375,1.4190400390625,1.4450009765625,2.9918417968749997,4.436842773437499
224,60,8,128,"[128, 129, 130, 131, 132, 133, 134, 135]",2,3,34,"[0, 0, 4920, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4920, 0, 0, 0, 119]",10014,5,4920,0,33131,9372,31039,16587,0,33891,1.003400390625,1.003400390625,5,0.011160644531249986,0.42808056640625,0.0,0,0.009958984375000035,0.56468115234375,0.56468115234375,5,0.009919921874999904,0.93140087890625,0.93140087890625,5,0.009359863281250047,2.435962890625,2.435962890625,10,0.02471923828125,0.55283935546875,0.55283935546875,5,0.00848046875000008,1.26780029296875,1.26780029296875,10,0.02620068359375005,0.4207998046875,0.0,0,0.012199707031250007,0.88319970703125,0.0,0,0.022319824218750006,1.56808154296875,1.484240234375,3.70376318359375,5.1880034179687495
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",0,0,35,"[0, 0, 0, 0, 754, 4920, 0, 0, 0, 0, 4920, 0, 0, 0, 0, 135, 0, 0, 221, 0]",10950,5,4920,0,25384,9236,25383,6214,3,33867,1.058119140625,1.058119140625,5,0.009959960937500068,0.47215966796875,0.0,0,0.010240234375000046,0.57823876953125,0.57823876953125,5,0.009639648437499981,1.04556005859375,1.04556005859375,5,0.00904003906250006,2.45875830078125,2.45875830078125,10,0.1562397460937497,0.58192041015625,0.58192041015625,5,0.010159667968750008,1.31439892578125,1.31439892578125,10,0.2030400390625,0.4642392578125,0.0,0,0.008399902343750043,0.9689189453125,0.0,0,0.022160156250000007,1.6363579101562498,1.62748046875,3.7731572265625,5.400637695312501
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",0,1,36,"[0, 0, 1, 4920, 0, 0, 0, 0, 0, 3773, 0, 0, 0, 0, 0, 0, 2227, 0, 0, 1539]",12460,5,4920,0,26081,9248,25383,4143,2,33867,1.155958984375,1.155958984375,5,0.01747998046874999,0.54219970703125,0.0,0,0.009520507812500023,0.6491591796875,0.6491591796875,5,0.008719726562499974,1.14339990234375,1.14339990234375,5,0.01676025390624991,2.6607587890625,2.6607587890625,10,0.03271972656249966,0.64528076171875,0.64528076171875,5,0.009559570312499988,1.42468017578125,1.42468017578125,10,0.02967968750000005,0.53999853515625,0.0,0,0.008800292968750068,1.086478515625,0.0,0,0.02064013671874987,1.8051181640625,1.7886806640625,4.08543896484375,5.87411962890625
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",0,2,37,"[0, 2887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0]",2910,2,2887,0,26778,9260,25383,2072,1,33867,0.29356005859375,0.29356005859375,2,0.004520019531249975,0.1045595703125,0.0,0,0.013080566406249994,0.17016015625,0.17016015625,2,0.003879882812500013,0.29543994140625,0.29543994140625,2,0.008280273437499985,0.7429990234375,0.7429990234375,4,0.00627978515624994,0.16616015625,0.16616015625,2,0.0036000976562499953,0.40631884765625,0.40631884765625,4,0.014000000000000012,0.10411962890625,0.0,0,0.007479492187500006,0.250599609375,0.0,0,0.019440429687500038,0.46372021484375003,0.46160009765625,1.14931787109375,1.61091796875
224,60,9,144,"[144, 145, 146, 147, 148, 149, 150, 151]",0,3,38,"[0, 0, 0, 4762, 0, 0, 0, 65, 0, 0, 0, 4594, 458, 0, 0, 0, 0, 1292, 0, 4747]",15918,6,4762,0,27475,9272,25383,1,0,33867,1.402958984375,1.402958984375,6,0.013280273437499934,0.70327978515625,0.0,0,0.012399902343749991,0.754919921875,0.754919921875,6,0.014359374999999952,1.41856005859375,1.41856005859375,6,0.022680175781250034,3.2723984375,3.2723984375,12,0.03775976562499972,0.76483984375,0.76483984375,6,0.015200195312499942,1.8894775390625,1.8894775390625,12,4.8091181640625,0.69656005859375,0.0,0,0.011519042968749948,1.37575830078125,0.0,0,0.02104052734374995,2.15787890625,2.18339990234375,5.1618759765625,7.34527587890625
