case_id,attempt_id,iteration,method,predicted_profiler_step_ms,predicted_outer_framework_ms,predicted_training_step_ms,model_training_flops,world_size,predicted_useful_tflops_per_gpu,peak_bf16_dense_tflops_per_gpu,predicted_mfu_pct,actual_training_step_ms,actual_profiler_step_ms,profiler_clock_compatible,profiler_definition,training_signed_relative_error_pct,training_ape_pct,profiler_ape_pct,mfu_signed_relative_error_pct,mfu_relative_ape_pct,actual_useful_tflops_per_gpu,actual_mfu_pct,absolute_mfu_error_percentage_points,mfu_signed_error_percentage_points
source16_holdout,wo_mccllog_1116,65,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4366.6,4003.487694,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.626892559428373,2.626892559428373,2.0020416103719296,2.697759811179501,2.697759811179501,60.38303924617597,12.076607849235193,0.32579787311041564,0.32579787311041564
source16_holdout,wo_mccllog_1116,70,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4338.7,4023.000177,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.000735024316014,2.000735024316014,2.477354414990862,2.041581663711911,2.041581663711911,60.771332236004326,12.154266447200866,0.24813927514474265,0.24813927514474265
source16_holdout,wo_mccllog_1116,75,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4455.3,4119.169723,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.565481348057354,4.565481348057354,4.7541988232855275,4.7838889036660115,4.7838889036660115,59.18088101190761,11.836176202381521,0.5662295199640877,0.5662295199640877
source16_holdout,wo_mccllog_1116,80,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4396.5,4047.708253,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-3.2891138519276497,3.2891138519276497,3.0726534800975314,3.400975818680574,3.400975818680574,59.972382388798366,11.994476477759674,0.4079292445859348,0.4079292445859348
source16_holdout,wo_mccllog_1116,85,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4284.0,3965.630548,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-0.7494372198879384,0.7494372198879384,1.0665225362793906,0.7550961917952126,0.7550961917951904,61.5472873885042,12.30945747770084,0.09294824464476825,0.09294824464476825
source16_holdout,wo_mccllog_1116,90,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4334.5,3974.572754,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-1.9057766870457793,1.9057766870457793,1.289108356324209,1.9428021576415322,1.9428021576415322,60.83021782728158,12.166043565456315,0.23636215688929418,0.23636215688929418
source16_holdout,wo_mccllog_1116,95,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4536.0,4136.853156,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-6.263357374338607,6.263357374338607,5.161337457442006,6.6818665560184565,6.681866556018434,58.12799364469842,11.625598728939684,0.7768069934059252,0.7768069934059252
source16_holdout,wo_mccllog_1116,100,M2_source_only_linear,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4466.3,4145.230924,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.800525949891387,4.800525949891387,5.353012258382927,5.042597133850357,5.042597133850379,59.03512508616796,11.807025017233592,0.5953807051120172,0.5953807051120172
source16_holdout,wo_mccllog_1116,65,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4366.6,4003.487694,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.6851554985572346,2.6851554985572346,2.0020416103719296,2.759245531669552,2.759245531669552,60.38303924617597,12.076607849235193,0.33322326245727574,0.33322326245727574
source16_holdout,wo_mccllog_1116,70,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4338.7,4023.000177,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.0593726231359466,2.0593726231359466,2.477354414990862,2.1026745266923053,2.1026745266923053,60.771332236004326,12.154266447200866,0.25556466449160276,0.25556466449160276
source16_holdout,wo_mccllog_1116,75,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4455.3,4119.169723,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.622584337755031,4.622584337755031,4.7541988232855275,4.84662360125665,4.846623601256672,59.18088101190761,11.836176202381521,0.5736549093109478,0.5736549093109478
source16_holdout,wo_mccllog_1116,80,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4396.5,4047.708253,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-3.3469805527123753,3.3469805527123753,3.0726534800975314,3.4628825585089507,3.4628825585089285,59.972382388798366,11.994476477759674,0.4153546339327949,0.4153546339327949
source16_holdout,wo_mccllog_1116,85,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4284.0,3965.630548,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-0.8088235294117507,0.8088235294117507,1.0665225362793906,0.8154188287620379,0.8154188287620379,61.5472873885042,12.30945747770084,0.10037363399162835,0.10037363399162835
source16_holdout,wo_mccllog_1116,90,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4334.5,3974.572754,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-1.9644711039335516,1.9644711039335516,1.289108356324209,2.003835880781768,2.003835880781768,60.83021782728158,12.166043565456315,0.24378754623615428,0.24378754623615428
source16_holdout,wo_mccllog_1116,95,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4536.0,4136.853156,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-6.319444444444433,6.319444444444433,5.161337457442006,6.745737583395095,6.745737583395073,58.12799364469842,11.625598728939684,0.7842323827527853,0.7842323827527853
source16_holdout,wo_mccllog_1116,100,B0_constant_work_efficiency,3923.3362045000003,326.0137955,4249.35,4218697266757632,16,62.049155558462346,500.0,12.409831111692469,4466.3,4145.230924,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.857488301278456,4.857488301278456,5.353012258382927,5.1054867214985755,5.105486721498598,59.03512508616796,11.807025017233592,0.6028060944588773,0.6028060944588773
source16_holdout,wo_mccllog_1116,65,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4366.6,4003.487694,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.626892559428373,2.626892559428373,2.0020416103719296,2.697759811179501,2.697759811179501,60.38303924617597,12.076607849235193,0.32579787311041564,0.32579787311041564
source16_holdout,wo_mccllog_1116,70,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4338.7,4023.000177,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.000735024316014,2.000735024316014,2.477354414990862,2.041581663711911,2.041581663711911,60.771332236004326,12.154266447200866,0.24813927514474265,0.24813927514474265
source16_holdout,wo_mccllog_1116,75,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4455.3,4119.169723,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.565481348057354,4.565481348057354,4.7541988232855275,4.7838889036660115,4.7838889036660115,59.18088101190761,11.836176202381521,0.5662295199640877,0.5662295199640877
source16_holdout,wo_mccllog_1116,80,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4396.5,4047.708253,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-3.2891138519276497,3.2891138519276497,3.0726534800975314,3.400975818680574,3.400975818680574,59.972382388798366,11.994476477759674,0.4079292445859348,0.4079292445859348
source16_holdout,wo_mccllog_1116,85,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4284.0,3965.630548,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-0.7494372198879384,0.7494372198879384,1.0665225362793906,0.7550961917952126,0.7550961917951904,61.5472873885042,12.30945747770084,0.09294824464476825,0.09294824464476825
source16_holdout,wo_mccllog_1116,90,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4334.5,3974.572754,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-1.9057766870457793,1.9057766870457793,1.289108356324209,1.9428021576415322,1.9428021576415322,60.83021782728158,12.166043565456315,0.23636215688929418,0.23636215688929418
source16_holdout,wo_mccllog_1116,95,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4536.0,4136.853156,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-6.263357374338607,6.263357374338607,5.161337457442006,6.6818665560184565,6.681866556018434,58.12799364469842,11.625598728939684,0.7768069934059252,0.7768069934059252
source16_holdout,wo_mccllog_1116,100,B1_compute_bubble,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4466.3,4145.230924,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.800525949891387,4.800525949891387,5.353012258382927,5.042597133850357,5.042597133850379,59.03512508616796,11.807025017233592,0.5953807051120172,0.5953807051120172
source16_holdout,wo_mccllog_1116,65,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4366.6,4003.487694,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.626892559428373,2.626892559428373,2.0020416103719296,2.697759811179501,2.697759811179501,60.38303924617597,12.076607849235193,0.32579787311041564,0.32579787311041564
source16_holdout,wo_mccllog_1116,70,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4338.7,4023.000177,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-2.000735024316014,2.000735024316014,2.477354414990862,2.041581663711911,2.041581663711911,60.771332236004326,12.154266447200866,0.24813927514474265,0.24813927514474265
source16_holdout,wo_mccllog_1116,75,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4455.3,4119.169723,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.565481348057354,4.565481348057354,4.7541988232855275,4.7838889036660115,4.7838889036660115,59.18088101190761,11.836176202381521,0.5662295199640877,0.5662295199640877
source16_holdout,wo_mccllog_1116,80,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4396.5,4047.708253,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-3.2891138519276497,3.2891138519276497,3.0726534800975314,3.400975818680574,3.400975818680574,59.972382388798366,11.994476477759674,0.4079292445859348,0.4079292445859348
source16_holdout,wo_mccllog_1116,85,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4284.0,3965.630548,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-0.7494372198879384,0.7494372198879384,1.0665225362793906,0.7550961917952126,0.7550961917951904,61.5472873885042,12.30945747770084,0.09294824464476825,0.09294824464476825
source16_holdout,wo_mccllog_1116,90,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4334.5,3974.572754,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-1.9057766870457793,1.9057766870457793,1.289108356324209,1.9428021576415322,1.9428021576415322,60.83021782728158,12.166043565456315,0.23636215688929418,0.23636215688929418
source16_holdout,wo_mccllog_1116,95,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4536.0,4136.853156,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-6.263357374338607,6.263357374338607,5.161337457442006,6.6818665560184565,6.681866556018434,58.12799364469842,11.625598728939684,0.7768069934059252,0.7768069934059252
source16_holdout,wo_mccllog_1116,100,M2_no_shape_speedup_sensitivity,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,62.01202861172805,500.0,12.402405722345609,4466.3,4145.230924,True,max rank ProfilerStep marker end - min rank ProfilerStep marker start,-4.800525949891387,4.800525949891387,5.353012258382927,5.042597133850357,5.042597133850379,59.03512508616796,11.807025017233592,0.5953807051120172,0.5953807051120172
