case_id,iteration,method,predicted_profiler_step_ms,predicted_outer_framework_ms,predicted_training_step_ms,model_training_flops,world_size,peak_bf16_dense_tflops_per_gpu,predicted_mfu_pct,actual_training_step_ms,actual_profiler_step_ms,actual_mfu_pct,training_ape_pct,profiler_ape_pct,mfu_relative_ape_pct,absolute_mfu_error_percentage_points
source16_holdout,65,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4366.6,4003.487694,12.076607849235193,2.626892559428373,2.0020416103719296,2.697759811179501,0.32579787311041564
source16_holdout,70,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4338.7,4023.000177,12.154266447200866,2.000735024316014,2.477354414990862,2.041581663711911,0.24813927514474265
source16_holdout,75,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4455.3,4119.169723,11.836176202381523,4.565481348057354,4.7541988232855275,4.7838889036660115,0.5662295199640859
source16_holdout,80,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4396.5,4047.708253,11.994476477759672,3.2891138519276497,3.0726534800975314,3.400975818680574,0.4079292445859366
source16_holdout,85,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4284.0,3965.630548,12.30945747770084,0.7494372198879384,1.0665225362793906,0.7550961917951904,0.09294824464476825
source16_holdout,90,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4334.5,3974.572754,12.166043565456315,1.9057766870457793,1.289108356324209,1.9428021576415322,0.23636215688929418
source16_holdout,95,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4536.0,4136.853156,11.625598728939682,6.263357374338607,5.161337457442006,6.6818665560184565,0.776806993405927
source16_holdout,100,T3_phase_pipeline_v1,3923.3362045000003,328.5579050000001,4251.894109500001,4218697266757632,16,500.0,12.402405722345609,4466.3,4145.230924,11.807025017233594,4.800525949891387,5.353012258382927,5.042597133850357,0.5953807051120155
target256,5,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,23897.8,22778.999835,3.193190479956481,45.74331674657037,44.520848864837326,84.30909153238537,2.6921498845499254
target256,10,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22181.0,21124.008279,3.4403420698752987,41.54387245598438,40.174253017588946,71.06846484947735,2.444998294631108
target256,15,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22322.3,21232.475572,3.418564729078276,41.913899326959566,40.47987620339599,72.15822518865191,2.4667756354281307
target256,20,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22477.2,21324.065408,3.395005937212108,42.314195493486274,40.73552343917991,73.35287399642361,2.4903344272942984
target256,25,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22339.2,21141.494931,3.415978524383326,41.95784248971268,40.22373636876802,72.28856453565864,2.4693618401230806
target256,30,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22524.6,21238.714665,3.387861602510322,42.43558753301677,40.497360857886434,73.71844115903419,2.4974787619960845
target256,35,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22519.5,21329.541819,3.388628852856591,42.42255089794133,40.75073973562458,73.67910798331027,2.4967115116498158
target256,40,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22643.5,21315.203585,3.3700720936208626,42.7378556736454,40.7108841576748,74.63544402051939,2.515268270885544
target256,45,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22982.2,21655.342667,3.320405681436242,43.58175609585634,41.64213450754487,77.24762963183164,2.5649346830701645
target256,50,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,23005.5,21548.742122,3.3170427702898873,43.63889656587292,41.35344107795572,77.42732825817822,2.5682975942165194
target256,55,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,22940.1,21638.095425,3.3264993374878054,43.47821652678887,41.595618757938325,76.92293812242437,2.5588410270186013
target256,60,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,23311.8,21987.373032,3.2734592546222943,44.37944023825657,42.523394099215075,79.78963251783264,2.6118811098841124
target256,65,T3_phase_pipeline_v1,12637.595745538105,328.5579050000001,12966.153650538105,97677091138437120,256,500.0,5.885340364506407,23628.5,22278.081261,3.229584080745879,45.124939583392496,43.27341031984888,82.23214560641429,2.6557562837605277
