variant,scope,updated_nodes,compute_increase_nodes,compute_decrease_nodes,duration_increase_nodes,duration_decrease_nodes,duration_unchanged_nodes,summed_compute_delta_ms,summed_duration_delta_ms,note
fine_both,exposed_gap,38784,20625,18017,10262,0,28522,9701.698668,6527.42427,Cross-node sums are not iteration gains; old wall floor prevents exposed duration decreases.
fine_both,overlap_with_collective,31408,15397,15634,15397,15634,377,-4694.768195,-4694.768195,Cross-node sums are not iteration gains; old wall floor prevents exposed duration decreases.
fine_exposed_only,exposed_gap,38784,20625,18017,10262,0,28522,9701.698668,6527.42427,Cross-node sums are not iteration gains; old wall floor prevents exposed duration decreases.
fine_overlap_only,overlap_with_collective,31408,15397,15634,15397,15634,377,-4694.768195,-4694.768195,Cross-node sums are not iteration gains; old wall floor prevents exposed duration decreases.
