variant,iteration,phase,predicted_ms,actual_ms,error_ms,APE_pct
frozen_v685,85,entry,1265.38821,1642.088634,-376.7004239999999,22.940322233543935
frozen_v685,85,onef1b,19115.772914,21393.263122,-2277.4902079999993,10.645828993043688
frozen_v685,85,tail,1004.5352981249962,782.152911000001,222.38238712499515,28.432085848874998
frozen_v685,85,outer,1372.45339,1547.495332999999,-175.04194299999904,11.311306681659579
frozen_v685,90,entry,1265.38821,1504.160721,-238.7725109999999,15.874135500710226
frozen_v685,90,onef1b,19115.772914,21528.329899,-2412.5569849999993,11.206428907019228
frozen_v685,90,tail,1004.5352981249962,728.2539179999985,276.28138012499767,37.93750686350557
frozen_v685,90,outer,1372.45339,1741.255462000001,-368.8020720000011,21.180239203752222
frozen_v685,95,entry,1265.38821,1605.572172,-340.18396199999984,21.187709150205666
frozen_v685,95,onef1b,19115.772914,21561.149446,-2445.3765319999984,11.341587043512941
frozen_v685,95,tail,1004.5352981249962,733.5161049999988,271.0191931249974,36.947954009134925
frozen_v685,95,outer,1372.45339,1539.062277000001,-166.608887000001,10.825350571567606
frozen_v685,100,entry,1265.38821,1468.369245,-202.98103500000002,13.8235689484221
frozen_v685,100,onef1b,19115.772914,21764.340726,-2648.5678119999975,12.169299522296027
frozen_v685,100,tail,1004.5352981249962,729.1963069999983,275.33899112499785,37.75924102767
frozen_v685,100,outer,1372.45339,1694.3937220000007,-321.9403320000008,19.000326064711462
fine_both,85,entry,1265.38821,1642.088634,-376.7004239999999,22.940322233543935
fine_both,85,onef1b,19283.76732,21393.263122,-2109.4958020000013,9.86056119615842
fine_both,85,tail,1008.394726124996,782.152911000001,226.24181512499501,28.925522355435522
fine_both,85,outer,1372.45339,1547.495332999999,-175.04194299999904,11.311306681659579
fine_both,90,entry,1265.38821,1504.160721,-238.7725109999999,15.874135500710226
fine_both,90,onef1b,19283.76732,21528.329899,-2244.5625790000013,10.42608780862403
fine_both,90,tail,1008.394726124996,728.2539179999985,280.14080812499753,38.467463229631136
fine_both,90,outer,1372.45339,1741.255462000001,-368.8020720000011,21.180239203752222
fine_both,95,entry,1265.38821,1605.572172,-340.18396199999984,21.187709150205666
fine_both,95,onef1b,19283.76732,21561.149446,-2277.3821260000004,10.562433750128744
fine_both,95,tail,1008.394726124996,733.5161049999988,274.87862112499727,37.474108509859875
fine_both,95,outer,1372.45339,1539.062277000001,-166.608887000001,10.825350571567606
fine_both,100,entry,1265.38821,1468.369245,-202.98103500000002,13.8235689484221
fine_both,100,onef1b,19283.76732,21764.340726,-2480.5734059999995,11.397420382399503
fine_both,100,tail,1008.394726124996,729.1963069999983,279.1984191249977,38.28851249585365
fine_both,100,outer,1372.45339,1694.3937220000007,-321.9403320000008,19.000326064711462
fine_exposed_only,85,entry,1265.38821,1642.088634,-376.7004239999999,22.940322233543935
fine_exposed_only,85,onef1b,19270.651619,21393.263122,-2122.611503,9.921868818680537
fine_exposed_only,85,tail,1009.3324971249968,782.152911000001,227.1795861249958,29.045418476361778
fine_exposed_only,85,outer,1372.45339,1547.495332999999,-175.04194299999904,11.311306681659579
fine_exposed_only,90,entry,1265.38821,1504.160721,-238.7725109999999,15.874135500710226
fine_exposed_only,90,onef1b,19270.651619,21528.329899,-2257.67828,10.487010792717694
fine_exposed_only,90,tail,1009.3324971249968,728.2539179999985,281.0785791249983,38.59623301401845
fine_exposed_only,90,outer,1372.45339,1741.255462000001,-368.8020720000011,21.180239203752222
fine_exposed_only,95,entry,1265.38821,1605.572172,-340.18396199999984,21.187709150205666
fine_exposed_only,95,onef1b,19270.651619,21561.149446,-2290.4978269999992,10.623263999614501
fine_exposed_only,95,tail,1009.3324971249968,733.5161049999988,275.81639212499806,37.60195450991475
fine_exposed_only,95,outer,1372.45339,1539.062277000001,-166.608887000001,10.825350571567606
fine_exposed_only,100,entry,1265.38821,1468.369245,-202.98103500000002,13.8235689484221
fine_exposed_only,100,onef1b,19270.651619,21764.340726,-2493.6891069999983,11.457682722367055
fine_exposed_only,100,tail,1009.3324971249968,729.1963069999983,280.1361901249985,38.417115862464065
fine_exposed_only,100,outer,1372.45339,1694.3937220000007,-321.9403320000008,19.000326064711462
fine_overlap_only,85,entry,1265.38821,1642.088634,-376.7004239999999,22.940322233543935
fine_overlap_only,85,onef1b,19129.167366,21393.263122,-2264.095755999999,10.583218385565925
fine_overlap_only,85,tail,1003.318776125001,782.152911000001,221.16586512499998,28.276550788800897
fine_overlap_only,85,outer,1372.45339,1547.495332999999,-175.04194299999904,11.311306681659579
fine_overlap_only,90,entry,1265.38821,1504.160721,-238.7725109999999,15.874135500710226
fine_overlap_only,90,onef1b,19129.167366,21528.329899,-2399.162532999999,11.144211112778613
fine_overlap_only,90,tail,1003.318776125001,728.2539179999985,275.0648581250025,37.77046045703568
fine_overlap_only,90,outer,1372.45339,1741.255462000001,-368.8020720000011,21.180239203752222
fine_overlap_only,95,entry,1265.38821,1605.572172,-340.18396199999984,21.187709150205666
fine_overlap_only,95,onef1b,19129.167366,21561.149446,-2431.982079999998,11.279463954790113
fine_overlap_only,95,tail,1003.318776125001,733.5161049999988,269.80267112500223,36.78210598048187
fine_overlap_only,95,outer,1372.45339,1539.062277000001,-166.608887000001,10.825350571567606
fine_overlap_only,100,entry,1265.38821,1468.369245,-202.98103500000002,13.8235689484221
fine_overlap_only,100,onef1b,19129.167366,21764.340726,-2635.173359999997,12.10775641300258
fine_overlap_only,100,tail,1003.318776125001,729.1963069999983,274.1224691250027,37.592410506407475
fine_overlap_only,100,outer,1372.45339,1694.3937220000007,-321.9403320000008,19.000326064711462
