variant,last_b_node,last_b_ms,last_b_delta_ms,completion_ms,completion_delta_ms,raw_after_last_b_ms,raw_after_last_b_delta_ms,optimizer_nodes,optimizer_changed_duration_nodes,optimizer_start_shift_min_ms,optimizer_start_shift_max_ms
frozen_v685,r3:s0:l3:bwd2:q5:end,20381.161124,0.0,20781.256754,0.0,400.09563,0.0,1120,0,0.0,0.0
fine_both,r13:s0:l13:bwd2:q5:end,20549.15553,167.994406,20953.110588,171.853834,403.955058,3.85942799999998,1120,0,171.853834,171.853834
fine_exposed_only,r5:s0:l5:bwd2:q5:end,20536.039829,154.878705,20940.932658,159.675904,404.892829,4.797198999999978,1120,0,159.675904,159.675904
fine_overlap_only,r3:s0:l3:bwd2:q5:end,20394.555576,13.394452,20793.434684,12.17793,398.879108,-1.2165220000000545,1120,0,12.17793,12.17793
