key,formal_direct_nodes,related_fine_nodes,related_eligible_positive_nodes,stages,reason,source_context_layers
forward|moe|moe|exposed_gap|before_cp2,0,48,48,0,internal_nodes_use_fine_schema,1|57
forward|moe|moe|exposed_gap|before_cp3,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
forward|moe|moe|exposed_gap|before_ep_combine,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
forward|moe|moe|exposed_gap|before_ep_dispatch,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
forward|moe|moe|overlap_with_collective|cp0,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
forward|moe|moe|overlap_with_collective|cp1,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
forward|moe|moe|overlap_with_collective|cp2,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
forward|moe|moe|overlap_with_collective|ep_dispatch,0,2448,2448,0|1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
forward|moe|moe_to_moe|exposed_gap|before_cp0,0,1776,1776,1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,3|4|5|7|8|9|11|12|13|15|16|17|19|20|21|23|24|25|27|28|29|31|32|33|35|36|37|39|40|41|43|44|45|47|48|49|51|52|53|55|56|57|59
forward|moe|moe_to_step_exit|exposed_gap|step_exit,48,624,624,0|1|2|3|4|5|6|7|8|9|10|11|12|13,direct_boundary_key_retained,1|5|9|13|17|21|25|29|33|37|41|45|49|53|57|59
forward|moe|step_entry_to_moe|exposed_gap|before_cp0,0,624,624,1|2|3|4|5|6|7|8|9|10|11|12|13,internal_nodes_use_fine_schema,2|6|10|14|18|22|26|30|34|38|42|46|50|54|58
