variant,phase,MAPE_pct,bias_ms,predicted_ms
frozen_v685,entry,18.45643395822048,-289.6594829999999,1265.38821
frozen_v685,onef1b,11.34078611646797,-2445.9978842499986,19115.772914
frozen_v685,tail,35.26919693729637,261.255487874997,1004.5352981249962
frozen_v685,outer,15.579305630422718,-258.0983085000005,1372.45339
fine_both,entry,18.45643395822048,-289.6594829999999,1265.38821
fine_both,onef1b,10.561625784327674,-2278.0034782500006,19283.76732
fine_both,tail,35.78890164769504,265.1149158749969,1008.394726124996
fine_both,outer,15.579305630422718,-258.0983085000005,1372.45339
fine_exposed_only,entry,18.45643395822048,-289.6594829999999,1265.38821
fine_exposed_only,onef1b,10.622456583344947,-2291.1191792499994,19270.651619
fine_exposed_only,tail,35.91518046568976,266.0526868749977,1009.3324971249968
fine_exposed_only,outer,15.579305630422718,-258.0983085000005,1372.45339
fine_overlap_only,entry,18.45643395822048,-289.6594829999999,1265.38821
fine_overlap_only,onef1b,11.278662466534307,-2432.603432249998,19129.167366
fine_overlap_only,tail,35.105381933181484,260.03896587500185,1003.318776125001
fine_overlap_only,outer,15.579305630422718,-258.0983085000005,1372.45339
