rank,pp_stage,phase,behavior,behavior_delta_ns
88,5,forward,cp_all_to_all,0
88,5,backward,cp_all_to_all,0
89,5,forward,cp_all_to_all,0
89,5,backward,cp_all_to_all,0
90,5,forward,cp_all_to_all,0
90,5,backward,cp_all_to_all,0
91,5,forward,cp_all_to_all,0
91,5,backward,cp_all_to_all,0
92,5,forward,cp_all_to_all,0
92,5,backward,cp_all_to_all,0
93,5,forward,cp_all_to_all,0
93,5,backward,cp_all_to_all,0
94,5,forward,cp_all_to_all,0
94,5,backward,cp_all_to_all,0
95,5,forward,cp_all_to_all,0
95,5,backward,cp_all_to_all,0
96,6,forward,cp_all_to_all,0
96,6,backward,cp_all_to_all,0
97,6,forward,cp_all_to_all,0
97,6,backward,cp_all_to_all,0
98,6,forward,cp_all_to_all,0
98,6,backward,cp_all_to_all,0
99,6,forward,cp_all_to_all,0
99,6,backward,cp_all_to_all,0
100,6,forward,cp_all_to_all,0
100,6,backward,cp_all_to_all,0
101,6,forward,cp_all_to_all,0
101,6,backward,cp_all_to_all,0
102,6,forward,cp_all_to_all,0
102,6,backward,cp_all_to_all,0
103,6,forward,cp_all_to_all,0
103,6,backward,cp_all_to_all,0
104,6,forward,cp_all_to_all,0
104,6,backward,cp_all_to_all,0
105,6,forward,cp_all_to_all,0
105,6,backward,cp_all_to_all,0
106,6,forward,cp_all_to_all,0
106,6,backward,cp_all_to_all,0
107,6,forward,cp_all_to_all,0
107,6,backward,cp_all_to_all,0
108,6,forward,cp_all_to_all,0
108,6,backward,cp_all_to_all,0
109,6,forward,cp_all_to_all,0
109,6,backward,cp_all_to_all,0
110,6,forward,cp_all_to_all,0
110,6,backward,cp_all_to_all,0
111,6,forward,cp_all_to_all,0
111,6,backward,cp_all_to_all,0
112,7,forward,cp_all_to_all,0
112,7,backward,cp_all_to_all,0
113,7,forward,cp_all_to_all,0
113,7,backward,cp_all_to_all,0
114,7,forward,cp_all_to_all,0
114,7,backward,cp_all_to_all,0
115,7,forward,cp_all_to_all,0
115,7,backward,cp_all_to_all,0
116,7,forward,cp_all_to_all,0
116,7,backward,cp_all_to_all,0
117,7,forward,cp_all_to_all,0
117,7,backward,cp_all_to_all,0
118,7,forward,cp_all_to_all,0
118,7,backward,cp_all_to_all,0
119,7,forward,cp_all_to_all,0
119,7,backward,cp_all_to_all,0
120,7,forward,cp_all_to_all,0
120,7,backward,cp_all_to_all,0
121,7,forward,cp_all_to_all,0
121,7,backward,cp_all_to_all,0
122,7,forward,cp_all_to_all,0
122,7,backward,cp_all_to_all,0
123,7,forward,cp_all_to_all,0
123,7,backward,cp_all_to_all,0
124,7,forward,cp_all_to_all,0
124,7,backward,cp_all_to_all,0
125,7,forward,cp_all_to_all,0
125,7,backward,cp_all_to_all,0
126,7,forward,cp_all_to_all,0
126,7,backward,cp_all_to_all,0
127,7,forward,cp_all_to_all,0
127,7,backward,cp_all_to_all,0
128,8,forward,cp_all_to_all,0
