iteration,rank,pp_stage,pp_lane,phase,microbatch,trace_duration_ns,adjusted_duration_ns,adjustment_ns
55,15,0,15,backward,0,409230380,302077631,-107152749
55,15,0,15,backward,1,415305673,306562171,-108743502
55,15,0,15,backward,2,409597141,302348359,-107248782
55,15,0,15,backward,3,408369476,301442145,-106927331
55,15,0,15,forward,0,160262362,107705638,-52556724
55,15,0,15,forward,1,157631343,105937440,-51693903
55,15,0,15,forward,2,157128677,105599619,-51529058
55,15,0,15,forward,3,176327004,118502012,-57824992
55,16,1,0,backward,0,723322720,499665285,-223657435
55,16,1,0,backward,1,726633220,501952151,-224681069
55,16,1,0,backward,2,729605174,504005152,-225600022
55,16,1,0,backward,3,723615181,499867315,-223747866
55,16,1,0,forward,0,325713549,211799501,-113914048
55,16,1,0,forward,1,325843846,211884228,-113959618
55,16,1,0,forward,2,324616519,211086143,-113530376
55,16,1,0,forward,3,322506780,209714258,-112792522
55,17,1,1,backward,0,724048595,500211760,-223836835
55,17,1,1,backward,1,726441422,501864853,-224576569
55,17,1,1,backward,2,729085062,503691222,-225393840
55,17,1,1,backward,3,723555469,499871082,-223684387
55,17,1,1,forward,0,325515025,211823837,-113691188
55,17,1,1,forward,1,327128567,212873824,-114254743
55,17,1,1,forward,2,324740499,211319826,-113420673
55,17,1,1,forward,3,322557422,209899223,-112658199
55,18,1,2,backward,0,725318303,502475635,-222842668
55,18,1,2,backward,1,728329277,504561535,-223767742
55,18,1,2,backward,2,729634181,505465527,-224168654
55,18,1,2,backward,3,722788465,500723050,-222065415
55,18,1,2,forward,0,325901113,212675359,-113225754
55,18,1,2,forward,1,326703595,213199039,-113504556
55,18,1,2,forward,2,324788121,211949046,-112839075
55,18,1,2,forward,3,322328151,210343728,-111984423
55,19,1,3,backward,0,722576956,500386199,-222190757
55,19,1,3,backward,1,726421666,503048670,-223372996
55,19,1,3,backward,2,730627177,505960996,-224666181
55,19,1,3,backward,3,722653601,500439276,-222214325
55,19,1,3,forward,0,325567106,212417012,-113150094
55,19,1,3,forward,1,326748614,213187890,-113560724
55,19,1,3,forward,2,324605876,211789855,-112816021
55,19,1,3,forward,3,322310248,210292067,-112018181
55,20,1,4,backward,0,724649471,503665267,-220984204
55,20,1,4,backward,1,727344432,505538391,-221806041
55,20,1,4,backward,2,730725656,507888499,-222837157
55,20,1,4,backward,3,724814278,503779815,-221034463
55,20,1,4,forward,0,325676368,213280770,-112395598
55,20,1,4,forward,1,326755949,213987772,-112768177
55,20,1,4,forward,2,324865285,212749604,-112115681
55,20,1,4,forward,3,322832329,211418250,-111414079
55,21,1,5,backward,0,724736926,503687266,-221049660
55,21,1,5,backward,1,727185986,505389346,-221796640
