method,iteration,evaluation_role,prefix_available_elapsed_ms,cutoff_fraction_pct,actual_remaining_ms,predicted_remaining_ms,remaining_error_ms,remaining_APE_pct,actual_onef1b_ms,predicted_onef1b_ms,onef1b_error_ms,onef1b_APE_pct,actual_profiler_ms,predicted_profiler_ms,profiler_APE_pct,actual_training_ms,predicted_training_ms,training_APE_pct,actual_MFU_pct_derived,predicted_MFU_pct,MFU_error_pp,MFU_relative_APE_pct,lagged_base_residual_correction_ms
formal_v685_cold_start,85,initialization,0.0,0.0,21393.263122,19115.772914,-2277.4902079999993,10.645828993043688,21393.263122,19115.772914,-2277.4902079999993,10.645828993043688,23817.504667,21385.696422124995,10.210172219444816,25365.0,22758.149812124997,10.277351420756961,2.9696954154989217,3.3098615149285155,0.34016609942959386,11.4545787306758,0.0
t35_midrun_winsor20,85,initialization,12568.438784,58.749517136893,8824.824338,8535.436129,-289.38820900000064,3.2792517778952828,21393.263122,21103.874913,-289.38820900000064,1.3527071926788254,23817.504667,23373.798421125,1.8629417820153569,25365.0,24746.251811125,2.439377839049875,2.9696954154989217,3.043948828657204,0.07425341315828238,2.5003713434971067,0.0
t38_lagged_base_residual,85,initialization,12568.438784,58.749517136893,8824.824338,8535.436129,-289.38820900000064,3.2792517778952828,21393.263122,21103.874913,-289.38820900000064,1.3527071926788254,23817.504667,23373.798421125,1.8629417820153569,25365.0,24746.251811125,2.439377839049875,2.9696954154989217,3.043948828657204,0.07425341315828238,2.5003713434971067,0.0
formal_v685_cold_start,90,causal_walk_forward,0.0,0.0,21528.329899,19115.772914,-2412.5569849999993,11.206428907019228,21528.329899,19115.772914,-2412.5569849999993,11.206428907019228,23760.744538,21385.696422124995,9.995680531292468,25502.0,22758.149812124997,10.759352944376925,2.9537418325672555,3.3098615149285155,0.35611968236126,12.056560882700344,0.0
t35_midrun_winsor20,90,causal_walk_forward,12259.378176,56.94532847422341,9268.951723,8849.567045999998,-419.38467700000183,4.52461820422842,21528.329899,21108.945222,-419.38467700000183,1.9480595056260375,23760.744538,23378.868730125,1.6071710516658042,25502.0,24751.322120124994,2.9436039521410304,2.9537418325672555,3.043325275658032,0.08958344309077626,3.0328799254914736,0.0
t38_lagged_base_residual,90,causal_walk_forward,12259.378176,56.94532847422341,9268.951723,9138.955254999999,-129.9964680000012,1.402493743466455,21528.329899,21398.333431,-129.9964680000012,0.6038390744190499,23760.744538,23668.256939125,0.38924537371750223,25502.0,25040.710329124995,1.8088372318837933,2.9537418325672555,3.008154450256056,0.05441261768880068,1.8421588877152393,289.38820900000064
formal_v685_cold_start,95,causal_walk_forward,0.0,0.0,21561.149446,19115.772914,-2445.3765319999984,11.341587043512941,21561.149446,19115.772914,-2445.3765319999984,11.341587043512941,23900.237723,21385.696422124995,10.52098866136037,25439.3,22758.149812124997,10.539402373001625,2.961021891881072,3.3098615149285155,0.34883962304744376,11.781055182467213,0.0
t35_midrun_winsor20,95,causal_walk_forward,12456.21248,57.7715604225862,9104.936966,8618.554828999999,-486.3821370000005,5.341960507977893,21561.149446,21074.767309,-486.3821370000005,2.2558265653607514,23900.237723,23344.690817125,2.3244409211058903,25439.3,24717.144207124995,2.838740817848779,2.961021891881072,3.0475334683857405,0.08651157650466867,2.9216797329961577,0.0
t38_lagged_base_residual,95,causal_walk_forward,12456.21248,57.7715604225862,9104.936966,9037.939506,-66.99745999999868,0.7358366153459726,21561.149446,21494.151986,-66.99745999999868,0.3107323204998608,23900.237723,23764.075494125,0.5697107721399914,25439.3,25136.528884124997,1.190170782509749,2.961021891881072,2.9966875920446823,0.03566570016361048,1.2045064665480352,419.38467700000183
formal_v685_cold_start,100,causal_walk_forward,0.0,0.0,21764.340726,19115.772914,-2648.5678119999975,12.169299522296026,21764.340726,19115.772914,-2648.5678119999975,12.169299522296026,23961.906278,21385.696422124995,10.751272565656782,25656.3,22758.149812124997,11.296056671753146,2.935977682445643,3.3098615149285155,0.3738838324828726,12.73455975903164,0.0
t35_midrun_winsor20,100,causal_walk_forward,12604.34432,57.91282391082339,9159.996405999998,8824.810269000001,-335.18613699999696,3.659238739225298,21764.340726,21429.154589,-335.18613699999696,1.5400702517011173,23961.906278,23699.078097125,1.0968583960964269,25656.3,25071.531487125,2.2792394572677983,2.935977682445643,3.0044564390816144,0.06847875663597147,2.3324004485936447,0.0
t38_lagged_base_residual,100,causal_walk_forward,12604.34432,57.91282391082339,9159.996405999998,9311.192406000002,151.19600000000355,1.6506120013427827,21764.340726,21915.536726000002,151.19600000000355,0.6946959795542192,23961.906278,24185.460234125,0.9329556402207071,25656.3,25557.913624125,0.3834784278130425,2.935977682445643,2.9472798649349463,0.01130218248930337,0.3849546458367065,486.3821370000005
