iteration,rank,pp_stage,pp_lane,compute_ns,pipeline_wait_ns,predicted_first_compute_ns,predicted_backward_done_ns,front_envelope_ns,wait_share_pct,observed_first_compute_ns,observed_backward_done_ns,observed_front_envelope_ns,observed_local_gap_ns,unmodeled_local_gap_ns
55,82,5,2,4101896359,10832629550,1486518536,14934525909,13448007373,80.55193047967107,1785477746297360755,1785477760981612412,14684251657,10582355298,-250274252
55,98,6,2,4080556349,10142380959,1806246492,14222937308,12416690816,81.68344617175012,1785477746617925771,1785477760175986558,13558060787,9477504438,-664876521
55,114,7,2,4011006187,9506971513,2128971407,13517977700,11389006293,83.47498691649024,1785477746941498233,1785477759377725613,12436227380,8425221193,-1081750320
55,130,8,2,4004690492,8829366181,2450641080,12834056673,10383415593,85.03335055713589,1785477747263830878,1785477758601563627,11337732749,7333042257,-1496323924
55,146,9,2,4075548432,8070292188,2768824577,12145840620,9377016043,86.06460894374307,1785477747582671267,1785477757819591394,10236920127,6161371695,-1908920493
55,162,10,2,4011187356,7410941116,3094004498,11422128472,8328123974,88.98692117380337,1785477747908858374,1785477757001800714,9092942340,5081754984,-2329186132
55,178,11,2,3967630583,6769359971,3419170580,10736990554,7317819974,92.50514490724476,1785477748235681295,1785477756223554241,7987872946,4020242363,-2749117608
55,194,12,2,3955626422,6093503235,3734661329,10049129657,6314468328,96.50065402941078,1785477748552417781,1785477755443267650,6890849869,2935223447,-3158279788
55,210,13,2,3999819487,5366627143,4051967190,9366446630,5314479440,100.98123821135717,1785477748871044057,1785477754668057664,5797013607,1797194120,-3569433023
55,226,14,2,4003020920,4670588298,4371954201,8673609218,4301655017,108.57654273859684,1785477749192631707,1785477753881897098,4689265391,686244471,-3984343827
55,242,15,2,2238585264,5617265306,4692367330,7855850570,3163483240,177.5658310742307,1785477749514299036,1785477752965700255,3451401219,1212815955,-4404449351
55,3,0,3,2268067603,15984283466,0,18252351069,18252351069,87.57383312195813,1785477744811134701,1785477764772885794,19961751093,17693683490,1709400024
55,19,1,3,4201511244,13640563231,164863026,17842074475,17677211449,77.16467764360904,1785477744976436705,1785477764268853498,19292416793,15090905549,1450342318
55,35,2,3,4256541215,12839020119,495142478,17095561334,16600418856,77.34154318858953,1785477745307316603,1785477763428769253,18121452650,13864911435,1025891316
55,51,3,3,4135042165,12253103533,821069805,16388145698,15567075893,78.71165797110179,1785477745633800812,1785477762627540351,16993739539,12858697374,605593841
55,67,4,3,4072446126,11566723520,1143093393,15639169646,14496076253,79.79209903511813,1785477745956488572,1785477761785068779,15828580207,11756134081,189410561
55,83,5,3,4105536807,10822793744,1483294885,14928330551,13445035666,80.49657890732739,1785477746297474361,1785477760981893066,14684418705,10578881898,-243911846
55,99,6,3,4073480382,10143057820,1802956574,14216538202,12413581628,81.70935773380165,1785477746618053253,1785477760176105232,13558051979,9484571597,-658486223
55,115,7,3,4007710551,9504338571,2125556865,13512049122,11386492257,83.47029406845712,1785477746941473511,1785477759377760403,12436286892,8428576341,-1075762230
55,131,8,3,4001434887,8826584294,2447235992,12828019181,10380783189,85.02811525196955,1785477747263813833,1785477758599332708,11335518875,7334083988,-1492500306
55,147,9,3,4075723183,8066188315,2765251829,12141911498,9376659669,86.02411306093869,1785477747582443618,1785477757819710941,10237267323,6161544140,-1904644175
55,163,10,3,4009374020,7409161297,3090693898,11418535317,8327841419,88.96856849478392,1785477747908794974,1785477757001897950,9093102976,5083728956,-2325432341
55,179,11,3,3962053757,6769267127,3416092776,10731320884,7315228108,92.53665131230929,1785477748235317517,1785477756221362527,7986045010,4023991253,-2745275874
55,195,12,3,3961392358,6086007837,3732015423,10047400195,6315384772,96.36796579652645,1785477748552228575,1785477755443539043,6891310468,2929918110,-3156089727
55,211,13,3,3993426888,5369986580,4049498663,9363413468,5313914805,101.05518769226862,1785477748871109904,1785477754665894681,5794784777,1801357889,-3568628691
55,227,14,3,4005811294,4668312332,4369399518,8674123626,4304724108,108.44626077950731,1785477749192091137,1785477753882421663,4690330526,684519232,-3983793100
55,243,15,3,2236410210,5617322397,4690277341,7853732607,3163455266,177.56920596834513,1785477749514549051,1785477752964100507,3449551456,1213141246,-4404181151
55,4,0,4,2274206134,15986945765,0,18261151899,18261151899,87.5462065778855,1785477744808924105,1785477764772393268,19963469163,17689263029,1702317264
55,20,1,4,4207663768,13643210516,167087459,17850874284,17683786825,77.15095556745946,1785477744976489727,1785477764269078015,19292588288,15084924520,1441714004
55,36,2,4,4258997829,12842959322,497476173,17101957151,16604480978,77.3463460798094,1785477745307243287,1785477763429317632,18122074345,13863076516,1020117194
55,52,3,4,4136715050,12257703148,823595918,16394418198,15570822280,78.72225966989843,1785477745633964170,1785477762627849902,16993885732,12857170682,599467534
55,68,4,4,4067224227,11576791238,1145524087,15644015465,14498491378,79.84824721533866,1785477745956467499,1785477761783531263,15827063764,11759839537,183048299
55,84,5,4,4104823598,10830809200,1485768972,14935632798,13449863826,80.52727774881191,1785477746297507305,1785477760981673972,14684166667,10579343069,-251466131
55,100,6,4,4076560185,10147582302,1805401412,14224142487,12418741075,81.71184374258323,1785477746618151804,1785477760176204886,13558053082,9481492897,-666089405
55,116,7,4,4013706781,9505459232,2128053519,13519166013,11391112494,83.44627653362897,1785477746941492735,1785477759377892671,12436399936,8422693155,-1082766077
55,132,8,4,4003602747,8830499327,2449718872,12834102074,10384383202,85.03633923389184,1785477747263856869,1785477758599117030,11335260161,7331657414,-1498841913
55,148,9,4,4076489844,8071778064,2767784803,12148267908,9380483105,86.04863921877934,1785477747582384952,1785477757819816198,10237431246,6160941402,-1910836662
55,164,10,4,4014288322,7409371322,3093260734,11423659644,8330398910,88.94377570689468,1785477747909037355,1785477757002532102,9093494747,5079206425,-2330164897
55,180,11,4,3968660306,6767904381,3418325498,10736564687,7318239189,92.47995598685534,1785477748235165441,1785477756222713310,7987547869,4018887563,-2749016818
55,196,12,4,3959394024,6088272237,3734271608,10047666261,6313394653,96.43420967049752,1785477748552230506,1785477755443197530,6890967024,2931573000,-3156699237
55,212,13,4,3992238902,5372525451,4051775523,9364764353,5312988830,101.12058622566312,1785477748871503782,1785477754666748297,5795244515,1803005613,-3569519838
55,228,14,4,4005343979,4670784587,4371422591,8676128566,4304705975,108.50414904353602,1785477749192640378,1785477753884502159,4691861781,686517802,-3984266785
55,244,15,4,2236755626,5617212019,4691756167,7853967645,3162211478,177.63555847165262,1785477749514252996,1785477752964342244,3450089248,1213333622,-4403878397
55,5,0,5,2272266691,15991270009,0,18263536700,18263536700,87.55845196730161,1785477744808609781,1785477764772212091,19963602310,17691335619,1700065610
55,21,1,5,4207019380,13646433335,167353488,17853452715,17686099227,77.15909064994415,1785477744976576016,1785477764268888899,19292312883,15085293503,1438860168
55,37,2,5,4261513996,12844506177,497519075,17106020173,16608501098,77.33693788024459,1785477745306974194,1785477763428976253,18122002059,13860488063,1015981886
55,53,3,5,4140459480,12257830839,823929928,16398290319,15574360391,78.70519579143338,1785477745633998366,1785477762628691482,16994693116,12854233636,596402797
55,69,4,5,4065318273,11581689264,1145890914,15647007537,14501116623,79.86756858179086,1785477745957283263,1785477761784661198,15827377935,11762059662,180370398
55,85,5,5,4104898517,10833192696,1485359435,14938091213,13452731778,80.52782791459592,1785477746298167289,1785477760982414557,14684247268,10579348751,-253843945
55,101,6,5,4079732686,10146256216,1804328884,14225988902,12421660018,81.6819668329132,1785477746617877056,1785477760176861855,13558984799,9479252113,-667004103
55,117,7,5,4013545691,9505459823,2127271438,13519005514,11391734076,83.44172853390262,1785477746941770441,1785477759377846687,12436076246,8422530555,-1082929268
55,133,8,5,4002385858,8831679200,2448715908,12834065058,10385349150,85.03979088656831,1785477747263959223,1785477758600005884,11336046661,7333660803,-1498018397
55,149,9,5,4077560120,8069840721,2766734338,12147400841,9380666503,86.02630440405498,1785477747582618185,1785477757820254917,10237636732,6160076612,-1909764109
55,165,10,5,4012764880,7409855884,3092071016,11422620764,8330549748,88.94798192374951,1785477747909555515,1785477757002236032,9092680517,5079915637,-2329940247
55,181,11,5,3965788170,6770210140,3416735072,10735998310,7319263238,92.49851958938385,1785477748235111049,1785477756222719516,7987608467,4021820297,-2748389843
55,197,12,5,3960058357,6089680692,3732796492,10049739049,6316942557,96.40234396704837,1785477748552041293,1785477755443151861,6891110568,2931052211,-3158628481
55,213,13,5,3998841035,5367737497,4050893745,9366578532,5315684787,100.97922868051356,1785477748871131345,1785477754666752106,5795620761,1796779726,-3570957771
55,229,14,5,4003444721,4671214708,4370771436,8674659429,4303887993,108.53476474288907,1785477749192748647,1785477753881761675,4689013028,685568307,-3985646401
55,245,15,5,2237851986,5618374007,4691085823,7856225993,3165140170,177.50790502905278,1785477749514791937,1785477752965250752,3450458815,1212606829,-4405767178
55,6,0,6,2272336892,15979189914,0,18251526806,18251526806,87.54988053244405,1785477744808565246,1785477764772600357,19964035111,17691698219,1712508305
55,22,1,6,4202124388,13640334152,167397838,17842458540,17675060702,77.17277118293882,1785477744976427566,1785477764268921927,19292494361,15090369973,1450035821
55,38,2,6,4259849560,12837678815,497929442,17097528375,16599598933,77.3372830681993,1785477745307364075,1785477763428831093,18121467018,13861617458,1023938643
55,54,3,6,4134656478,12255431965,823945619,16390088443,15566142824,78.73133443247404,1785477745633942755,1785477762628416107,16994473352,12859816874,604384909
55,70,4,6,4067001782,11573473939,1145866058,15640475721,14494609663,79.84674446627767,1785477745956602684,1785477761784001966,15827399282,11760397500,186923561
55,86,5,6,4103997632,10828398601,1485974044,14932396233,13446422189,80.5299614187207,1785477746297497414,1785477760981688637,14684191223,10580193591,-248205010
55,102,6,6,4078841959,10142237902,1805569019,14221079861,12415510842,81.69005714763001,1785477746618341903,1785477760176112467,13557770564,9478928605,-663309297
55,118,7,6,4016634729,9497078987,2128040929,13513713716,11385672787,83.41254104758421,1785477746941546308,1785477759379930356,12438384048,8421749319,-1075329668
55,134,8,6,4000265756,8825900174,2449721991,12826165930,10376443939,85.05707953403709,1785477747263824617,1785477758599070563,11335245946,7334980190,-1490919984
55,150,9,6,4072276715,8069023402,2767824881,12141300117,9373475236,86.08358371727392,1785477747583738664,1785477757820450157,10236711493,6164434778,-1904588624
55,166,10,6,4010922886,7406354110,3092158528,11417276996,8325118468,88.9639485428161,1785477747909047545,1785477757002106551,9093059006,5082136120,-2324217990
55,182,11,6,3962569008,6766453207,3417353798,10729022215,7311668417,92.5432175133606,1785477748235638291,1785477756221500638,7985862347,4023293339,-2743159868
55,198,12,6,3959927913,6083404540,3733005126,10043332453,6310327327,96.40394586142837,1785477748552099641,1785477755442936684,6890837043,2930909130,-3152495410
55,214,13,6,3994485364,5366366028,4050635289,9360851392,5310216103,101.0573943491354,1785477748871523379,1785477754665650978,5794127599,1799642235,-3566723793
55,230,14,6,4002667606,4668571998,4370192264,8671239604,4301047340,108.54500378505483,1785477749192420802,1785477753881951687,4689530885,686863279,-3981708719
55,246,15,6,2239319982,5613272481,4690733685,7852592463,3161858778,177.53077778352312,1785477749514650031,1785477752964660680,3450010649,1210690667,-4402581814
55,7,0,7,2273398840,15975639903,0,18249038743,18249038743,87.54236389096366,1785477744808446696,1785477764772602594,19964155898,17690757058,1715117155
55,23,1,7,4201417172,13638622656,167535389,17840039828,17672504439,77.1742494284061,1785477744976225627,1785477764269372014,19293146387,15091729215,1453106559
55,39,2,7,4260633579,12832513970,498182194,17093147549,16594965355,77.32775390298487,1785477745307404992,1785477763428713759,18121308767,13860675188,1028161218
55,55,3,7,4132383120,12253260958,824040902,16385644078,15561603176,78.74035097423435,1785477745634340520,1785477762627652032,16993311512,12860928392,607667434
55,71,4,7,4067772561,11568983928,1145636408,15636756489,14491120081,79.83498765681092,1785477745956597397,1785477761783921820,15827324423,11759551862,190567934
55,87,5,7,4101228369,10827779006,1485884878,14929007375,13443122497,80.54511895146648,1785477746297668534,1785477760982220747,14684552213,10583323844,-244455162
55,103,6,7,4072018136,10143799011,1805340464,14215817147,12410476683,81.73577268708044,1785477746618062670,1785477760175806072,13557743402,9485725266,-658073745
55,119,7,7,4009127500,9503735708,2128087114,13512863208,11384776094,83.47758119730308,1785477746942215031,1785477759378509561,12436294530,8427167030,-1076568678
55,135,8,7,3999355658,8827595578,2449063381,12826951236,10377887855,85.06158190702476,1785477747263902503,1785477758599926018,11336023515,7336667857,-1490927721
55,151,9,7,4074998694,8066624216,2767076841,12141622910,9374546069,86.04815802948507,1785477747582655968,1785477757820436307,10237780339,6162781645,-1903842571
55,167,10,7,4009693834,7407543980,3092512857,11417237814,8324724957,88.98244708699029,1785477747908832831,1785477757002160137,9093327306,5083633472,-2323910508
55,183,11,7,3962710392,6768107187,3417716264,10730817579,7313101315,92.54770165863619,1785477748234996040,1785477756222138750,7987142710,4024432318,-2743674869
55,199,12,7,3962417440,6084705311,3733972285,10047122751,6313150466,96.38143972284027,1785477748552224392,1785477755444830487,6892606095,2930188655,-3154516656
55,215,13,7,3991896199,5368950773,4051487959,9360846972,5309359013,101.1223908546039,1785477748871212454,1785477754665792558,5794580104,1802683905,-3566266868
55,231,14,7,4002279521,4669055806,4371199657,8671335327,4300135670,108.5792673606505,1785477749192218789,1785477753881845662,4689626873,687347352,-3981708454
55,247,15,7,2233024535,5619030736,4692037823,7852055271,3160017448,177.81644653754455,1785477749514945801,1785477752963799292,3448853491,1215828956,-4403201780
55,8,0,8,2278110920,16118494452,0,18396605372,18396605372,87.61667778411265,1785477744808618037,1785477764894733458,20086115421,17808004501,1689510049
55,24,1,8,4203201343,13780941780,165235062,17984143123,17818908061,77.33886797565424,1785477744974341612,1785477764388798141,19414456529,15211255186,1430313406
55,40,2,8,4206366389,13044615007,494025453,17250981396,16756955943,77.84597066061522,1785477745304491921,1785477763562135045,18257643124,14051276735,1006661728
55,56,3,8,4218552176,12322273115,841801869,16540825291,15699023422,78.49069833052192,1785477745669466036,1785477762759788126,17090322090,12871769914,549496799
55,72,4,8,4081527071,11761259377,1237478557,15842786448,14605307891,80.52729504078073,1785477746066116466,1785477761968262521,15902146055,11820618984,59359607
55,88,5,8,4166886591,10971718588,1560420522,15138605179,13578184657,80.8040166278319,1785477746390149458,1785477761170113291,14779963833,10613077242,-358641346
55,104,6,8,4067203477,10378725322,1879755423,14445928799,12566173376,82.59256825011039,1785477746710492490,1785477760382928238,13672435748,9605232271,-773493051
55,120,7,8,3993521822,9753006563,2200516170,13746528385,11546012215,84.47077987956207,1785477747031877784,1785477759587993407,12556115623,8562593801,-1190412762
55,136,8,8,4098812049,8961883988,2527884688,13060696037,10532811349,85.08539354833175,1785477747359993409,1785477758809177907,11449184498,7350372449,-1611511539
55,152,9,8,4118758949,8217791402,2847829059,12336550351,9488721292,86.60588870840238,1785477747680492108,1785477757988863695,10308371587,6189612638,-2028178764
55,168,10,8,4126698994,7484350327,3175014375,11611049321,8436034946,88.7188160659381,1785477748008230559,1785477757170498020,9162267461,5035568467,-2448781860
55,184,11,8,3950894957,6971707780,3493111188,10922602737,7429491549,93.83828939058935,1785477748327177706,1785477756388386976,8061209270,4110314313,-2861393467
55,200,12,8,3959390353,6273744423,3810917257,10233134776,6422217519,97.68813349032877,1785477748646732691,1785477755604582880,6957850189,2998459836,-3275284587
55,216,13,8,4156495812,5396535893,4127152100,9553031705,5425879605,99.4591897694715,1785477748964290944,1785477754830953915,5866662971,1710167159,-3686368734
55,232,14,8,4076874372,4788671467,4446997479,8865545839,4418548360,108.37657703038018,1785477749285173679,1785477754049748107,4764574428,687700056,-4100971411
55,248,15,8,2264467015,5729896295,4773777418,7994363310,3220585892,177.91471760567472,1785477749613503213,1785477753084157988,3470654775,1206187760,-4523708535
55,9,0,9,2294282217,16124369707,0,18418651924,18418651924,87.54370175153542,1785477744808590481,1785477764893971529,20085381048,17791098831,1666729124
55,25,1,9,4224526946,13782733490,165297371,18007260436,17841963065,77.24897445302497,1785477744974295257,1785477764391477661,19417182404,15192655458,1409921968
55,41,2,9,4228960771,13042407364,494048306,17271368135,16777319829,77.73832469627172,1785477745303660793,1785477763562991348,18259330555,14030369784,987962420
55,57,3,9,4230649220,12329650768,842780194,16560299988,15717519794,78.44526954377825,1785477745652988057,1785477762758561848,17105573791,12874924571,545273803
55,73,4,9,4082180622,11781121432,1254780469,15863302054,14608521585,80.6455421477888,1785477746065534496,1785477761968213298,15902678802,11820498180,39376748
55,89,5,9,4172581775,10986561041,1578097405,15159142816,13581045411,80.89628381701316,1785477746389913058,1785477761171427010,14781513952,10608932177,-377628864
55,105,6,9,4070710107,10394370609,1897784636,14465080716,12567296080,82.70968188250086,1785477746710640587,1785477760383818542,13673177955,9602467848,-791902761
55,121,7,9,3989689298,9774908182,2218417096,13764597480,11546180384,84.65923670779887,1785477747031893354,1785477759588811772,12556918418,8567229120,-1207679062
55,137,8,9,4097015110,8981244116,2545821663,13078259226,10532437563,85.27222746186243,1785477747359936189,1785477758808955543,11449019354,7352004244,-1629239872
55,153,9,9,4127354417,8227034587,2865778671,12354389004,9488610333,86.70431494470351,1785477747680570574,1785477757991014702,10310444128,6183089711,-2043944876
55,169,10,9,4126225418,7487800291,3192913820,11614025709,8421111889,88.91700276279276,1785477748009071943,1785477757170801318,9161729375,5035503957,-2452296334
55,185,11,9,3954771000,6970912856,3510624996,10925683856,7415058860,94.01021606995039,1785477748328667340,1785477756389178532,8060511192,4105740192,-2865172664
55,201,12,9,3959932643,6275754920,3826972240,10235687563,6408715323,97.92531893993133,1785477748645816231,1785477755604562665,6958746434,2998813791,-3276941129
55,217,13,9,4155010541,5400812560,4144043304,9555823101,5411779797,99.79734509881426,1785477748963712618,1785477754830940277,5867227659,1712217118,-3688595442
55,233,14,9,4062205275,4806210790,4464315726,8868416065,4404100339,109.13036534247773,1785477749284962227,1785477754049338729,4764376502,702171227,-4104039563
55,249,15,9,2263569480,5744362209,4791435441,8007931689,3216496248,178.5906702851531,1785477749613830231,1785477753084316184,3470485953,1206916473,-4537445736
