iteration,node_id,kind,phase,microbatch,rank,pp_stage,pp_lane,src_rank,dst_rank,src_stage,dst_stage,sequence,region,duration_ns,network_service_ns,software_completion_ns,observed_start_ns,observed_end_ns,predicted_start_ns,predicted_end_ns,critical_predecessor,local_wait_ns
55,rank80:F1,compute,forward,1,80,5,0,80,80,5,5,1,warmup,313068007,0,0,1.7854777466244626e+18,1.7854777469375304e+18,1806074850,2119142857,lane0:F1:s4->s5,6975317
55,lane0:F2:s3->s4,pp_message,forward,2,-1,3,0,48,64,3,4,-1,p2p,4712346,4712346,0,,,1939712967,1944425313,rank48:F2,0
55,lane0:F3:s2->s3,pp_message,forward,3,-1,2,0,32,48,2,3,-1,p2p,4712346,4712346,0,,,1941648933,1946361279,rank32:F3,0
55,rank64:F2,compute,forward,2,64,4,0,64,64,4,4,2,warmup,315835668,0,0,1.7854777467680292e+18,1.7854777470838648e+18,1944425313,2260260981,lane0:F2:s3->s4,143062809
55,rank48:F3,compute,forward,3,48,3,0,48,48,3,3,3,warmup,334028881,0,0,1.7854777467750979e+18,1.785477747109127e+18,1946361279,2280390160,lane0:F3:s2->s3,6648312
55,lane0:F1:s5->s6,pp_message,forward,1,-1,5,0,80,96,5,6,-1,p2p,4712346,4712346,0,,,2119142857,2123855203,rank80:F1,0
55,lane0:F0:s6->s7,pp_message,forward,0,-1,6,0,96,112,6,7,-1,p2p,4712346,4712346,0,,,2121773162,2126485508,rank96:F0,0
55,rank112:F0,compute,forward,0,112,7,0,112,112,7,7,0,warmup,316959816,0,0,1.785477746941603e+18,1.785477747258563e+18,2126485508,2443445324,lane0:F0:s6->s7,2126485508
55,rank96:F1,compute,forward,1,96,6,0,96,96,6,6,1,warmup,316836974,0,0,1.7854777469463022e+18,1.7854777472631393e+18,2126485508,2443322482,lane0:F0:s6->s7,4712346
55,lane0:F2:s4->s5,pp_message,forward,2,-1,4,0,64,80,4,5,-1,p2p,4712346,4712346,0,,,2260260981,2264973327,rank64:F2,0
55,rank80:F2,compute,forward,2,80,5,0,80,80,5,5,2,warmup,352583734,0,0,1.7854777470890634e+18,1.785477747441647e+18,2264973327,2617557061,lane0:F2:s4->s5,145830470
55,lane0:F3:s3->s4,pp_message,forward,3,-1,3,0,48,64,3,4,-1,p2p,4712346,4712346,0,,,2280390160,2285102506,rank48:F3,0
55,rank64:F3,compute,forward,3,64,4,0,64,64,4,4,3,warmup,313494294,0,0,1.785477747114236e+18,1.7854777474277304e+18,2285102506,2598596800,lane0:F3:s3->s4,24841525
55,lane0:F1:s6->s7,pp_message,forward,1,-1,6,0,96,112,6,7,-1,p2p,4712346,4712346,0,,,2443322482,2448034828,rank96:F1,0
55,lane0:F0:s7->s8,pp_message,forward,0,-1,7,0,112,128,7,8,-1,p2p,4712346,4712346,0,,,2443445324,2448157670,rank112:F0,0
55,rank112:F1,compute,forward,1,112,7,0,112,112,7,7,1,warmup,312190019,0,0,1.7854777472689334e+18,1.7854777475811236e+18,2448157670,2760347689,lane0:F0:s7->s8,4712346
55,rank128:F0,compute,forward,0,128,8,0,128,128,8,8,0,warmup,313085112,0,0,1.7854777472642386e+18,1.7854777475773238e+18,2448157670,2761242782,lane0:F0:s7->s8,2448157670
55,lane0:F3:s4->s5,pp_message,forward,3,-1,4,0,64,80,4,5,-1,p2p,4712346,4712346,0,,,2598596800,2603309146,rank64:F3,0
55,lane0:F2:s5->s6,pp_message,forward,2,-1,5,0,80,96,5,6,-1,p2p,4712346,4712346,0,,,2617557061,2622269407,rank80:F2,0
55,rank80:F3,compute,forward,3,80,5,0,80,80,5,5,3,warmup,312165256,0,0,1.7854777474521137e+18,1.7854777477642788e+18,2622269407,2934434663,lane0:F2:s5->s6,4712346
55,rank96:F2,compute,forward,2,96,6,0,96,96,6,6,2,warmup,315803544,0,0,1.7854777474470387e+18,1.7854777477628424e+18,2622269407,2938072951,lane0:F2:s5->s6,178946925
55,lane0:F1:s7->s8,pp_message,forward,1,-1,7,0,112,128,7,8,-1,p2p,4712346,4712346,0,,,2760347689,2765060035,rank112:F1,0
55,lane0:F0:s8->s9,pp_message,forward,0,-1,8,0,128,144,8,9,-1,p2p,4712346,4712346,0,,,2761242782,2765955128,rank128:F0,0
55,rank128:F1,compute,forward,1,128,8,0,128,128,8,8,1,warmup,310793214,0,0,1.785477747587731e+18,1.7854777478985242e+18,2765955128,3076748342,lane0:F0:s8->s9,4712346
55,rank144:F0,compute,forward,0,144,9,0,144,144,9,9,0,warmup,320335221,0,0,1.7854777475828756e+18,1.785477747903211e+18,2765955128,3086290349,lane0:F0:s8->s9,2765955128
55,lane0:F3:s5->s6,pp_message,forward,3,-1,5,0,80,96,5,6,-1,p2p,4712346,4712346,0,,,2934434663,2939147009,rank80:F3,0
55,lane0:F2:s6->s7,pp_message,forward,2,-1,6,0,96,112,6,7,-1,p2p,4712346,4712346,0,,,2938072951,2942785297,rank96:F2,0
55,rank112:F2,compute,forward,2,112,7,0,112,112,7,7,2,warmup,310993559,0,0,1.785477747767968e+18,1.7854777480789617e+18,2942785297,3253778856,lane0:F2:s6->s7,182437608
55,rank96:F3,compute,forward,3,96,6,0,96,96,6,6,3,warmup,315586038,0,0,1.7854777477731267e+18,1.7854777480887127e+18,2942785297,3258371335,lane0:F2:s6->s7,4712346
55,lane0:F1:s8->s9,pp_message,forward,1,-1,8,0,128,144,8,9,-1,p2p,4712346,4712346,0,,,3076748342,3081460688,rank128:F1,0
55,lane0:F0:s9->s10,pp_message,forward,0,-1,9,0,144,160,9,10,-1,p2p,4712346,4712346,0,,,3086290349,3091002695,rank144:F0,0
