kind,behavior,request_id,reference_payload_bytes,tail_after_last_release_ns,baseline_tail_after_last_release_ns,representative_trace_service_ns,representative_software_residual_ns,representative_simulator_bias_correction_ns,representative_trace_calibration_residual_ns,simulator_commit,topology_hash,scaling_rule,residual_rule
dp_rs,dp_grad_reduce_scatter,iter55_dp_grad_reduce_scatter_g13_slot0,3155886080,380118965,380118965,15880801,0,-364238164,-364238164,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88,tail_ns * request_payload / reference_payload,trace request tail - baseline OISA network tail (signed)
dp_ag0,dp_param_allgather,iter55_dp_param_allgather_g12_slot1,98621440,65335286,65335286,7407673,0,-57927613,-57927613,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88,tail_ns * request_payload / reference_payload,trace request tail - baseline OISA network tail (signed)
dp_ag1,dp_param_allgather,iter55_dp_param_allgather_g12_slot1,98621440,65335286,65335286,7407673,0,-57927613,-57927613,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88,tail_ns * request_payload / reference_payload,trace request tail - baseline OISA network tail (signed)
edp_rs,expert_dp_grad_reduce_scatter,iter55_expert_dp_grad_reduce_scatter_g28_slot0,7549747200,151169266,151169266,208459147,57289881,0,57289881,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88,tail_ns * request_payload / reference_payload,trace request tail - baseline OISA network tail (signed)
edp_ag0,expert_dp_param_allgather,iter55_expert_dp_param_allgather_g43_slot1,1887436800,75588840,75588840,53614960,0,-21973880,-21973880,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88,tail_ns * request_payload / reference_payload,trace request tail - baseline OISA network tail (signed)
edp_ag1,expert_dp_param_allgather,iter55_expert_dp_param_allgather_g43_slot1,1887436800,75588840,75588840,53614960,0,-21973880,-21973880,faa3c789549d542484ca9aab132b7d4727afd14a,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88,tail_ns * request_payload / reference_payload,trace request tail - baseline OISA network tail (signed)
