variant,iteration,split,predicted_profiler_ms,actual_profiler_ms,profiler_error_ms,profiler_ape_pct,predicted_training_ms,actual_training_ms,training_error_ms,training_ape_pct,predicted_mfu_pct,actual_mfu_pct_derived,mfu_error_pp,mfu_relative_ape_pct,mfu_basis
v685_frozen,60,posthoc_60_80_diagnostic,21385.696422124995,22338.246915,-952.5504928750051,4.264213286295861,22758.149812124997,23997.9,-1239.750187875008,5.166077814621313,3.3098615149285155,3.138871493511105,0.1709900214174107,5.44749989831993,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,60,posthoc_60_80_diagnostic,20703.781716125,22338.246915,-1634.465198875001,7.31689109308514,22076.235106125,23997.9,-1921.664893875004,8.00763772611355,3.412100109100172,3.138871493511105,0.2732286155890668,8.704676701607703,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,65,posthoc_60_80_diagnostic,21385.696422124995,22403.914934,-1018.2185118750058,4.544824040238456,22758.149812124997,24058.0,-1299.850187875007,5.402985235160889,3.3098615149285155,3.1310301859726555,0.17883132895586,5.711581119755512,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,65,posthoc_60_80_diagnostic,20703.781716125,22403.914934,-1700.1332178750015,7.588554156197466,22076.235106125,24058.0,-1981.7648938750024,8.237446561954455,3.412100109100172,3.1310301859726555,0.2810699231275162,8.976915150378908,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,70,posthoc_60_80_diagnostic,21385.696422124995,22875.110682,-1489.414259875004,6.511069085436149,22758.149812124997,24534.6,-1776.4501878750052,7.240591604815261,3.3098615149285155,3.07020795994759,0.2396535549809253,7.805775963951847,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,70,posthoc_60_80_diagnostic,20703.781716125,22875.110682,-2171.328965875,9.492102556616604,22076.235106125,24534.6,-2458.364893875001,10.019991741764697,3.412100109100172,3.07020795994759,0.3418921491525815,11.135797757439784,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,75,posthoc_60_80_diagnostic,21385.696422124995,23424.71834,-2039.0219178750049,8.704573896170078,22758.149812124997,25133.5,-2375.3501878750067,9.450932770505528,3.3098615149285155,2.997048728355786,0.3128127865727297,10.43736071466353,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,75,posthoc_60_80_diagnostic,20703.781716125,23424.71834,-2720.936623875001,11.615664207277725,22076.235106125,25133.5,-3057.2648938750026,12.164103264069878,3.412100109100172,2.997048728355786,0.4150513807443858,13.848669753597488,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,80,posthoc_60_80_diagnostic,21385.696422124995,23208.123683,-1822.427260875007,7.852540281875258,22758.149812124997,25317.7,-2559.5501878750074,10.109726349056222,3.3098615149285155,2.975243573236516,0.3346179416919996,11.24674109716661,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,80,posthoc_60_80_diagnostic,20703.781716125,23208.123683,-2504.341966875003,10.790798950754638,22076.235106125,25317.7,-3241.464893875004,12.803157055636978,3.412100109100172,2.975243573236516,0.4368565358636558,14.683051155655017,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,85,development_primary,21385.696422124995,23817.504667,-2431.8082448750065,10.210172219444816,22758.149812124997,25365.0,-2606.8501878750067,10.277351420756975,3.3098615149285155,2.9696954154989217,0.3401660994295938,11.4545787306758,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,85,development_primary,20703.781716125,23817.504667,-3113.7229508750024,13.073254290946675,22076.235106125,25365.0,-3288.7648938750026,12.965759486989958,3.412100109100172,2.9696954154989217,0.44240469360125,14.89730870352319,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,90,development_primary,21385.696422124995,23760.744538,-2375.0481158750044,9.995680531292468,22758.149812124997,25502.0,-2743.8501878750067,10.75935294437694,3.3098615149285155,2.9537418325672555,0.35611968236126,12.056560882700344,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,90,development_primary,20703.781716125,23760.744538,-3056.9628218750004,12.865601988969964,22076.235106125,25502.0,-3425.7648938750026,13.433318539232229,3.412100109100172,2.9537418325672555,0.4583582765329161,15.51788553350082,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,95,development_primary,21385.696422124995,23900.237723,-2514.541300875004,10.52098866136037,22758.149812124997,25439.3,-2681.150187875006,10.539402373001638,3.3098615149285155,2.961021891881072,0.3488396230474437,11.781055182467211,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,95,development_primary,20703.781716125,23900.237723,-3196.456006875,13.374159888790324,22076.235106125,25439.3,-3363.064893875002,13.219958465346933,3.412100109100172,2.961021891881072,0.4510782172190999,15.233869714233686,inherited FLOPs/peak and training clock; numerator not independently verified
v685_frozen,100,development_primary,21385.696422124995,23961.906278,-2576.209855875004,10.751272565656782,22758.149812124997,25656.3,-2898.150187875006,11.29605667175316,3.3098615149285155,2.935977682445643,0.3738838324828726,12.73455975903164,inherited FLOPs/peak and training clock; numerator not independently verified
v686_split_full,100,development_primary,20703.781716125,23961.906278,-3258.124561875,13.597100848634744,22076.235106125,25656.3,-3580.064893875002,13.953940723623449,3.412100109100172,2.935977682445643,0.4761224266545287,16.216827174855194,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,60,posthoc_60_80_diagnostic,20523.266859125,22338.246915,-1814.980055875003,8.124988781712563,21895.720249124995,23997.9,-2102.179750875006,8.759848782080956,3.440230481440333,3.138871493511105,0.3013589879292286,9.6008705215304,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,65,posthoc_60_80_diagnostic,20523.266859125,22403.914934,-1880.648074875004,8.394283233154699,21895.720249124995,24058.0,-2162.2797508750045,8.987778497277432,3.440230481440333,3.1310301859726555,0.309200295467678,9.875353385378649,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,70,posthoc_60_80_diagnostic,20523.266859125,22875.110682,-2351.843822875002,10.281234725240584,21895.720249124995,24534.6,-2638.879750875003,10.755748008424847,3.440230481440333,3.07020795994759,0.3700225214927433,12.052034465413206,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,75,posthoc_60_80_diagnostic,20523.266859125,23424.71834,-2901.4514808750027,12.386281187084712,21895.720249124995,25133.5,-3237.7797508750045,12.882327375315832,3.440230481440333,2.997048728355786,0.4431817530845476,14.787272188520008,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,80,posthoc_60_80_diagnostic,20523.266859125,23208.123683,-2684.856823875005,11.568607874326643,21895.720249124995,25317.7,-3421.9797508750053,13.516155696903768,3.440230481440333,2.975243573236516,0.4649869082038176,15.62853248004827,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,85,development_primary,20523.266859125,23817.504667,-3294.2378078750044,13.83116264248827,21895.720249124995,25365.0,-3469.2797508750045,13.677428546717938,3.440230481440333,2.9696954154989217,0.4705350659414118,15.844556431130156,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,90,development_primary,20523.266859125,23760.744538,-3237.4776788750023,13.625320846732643,21895.720249124995,25502.0,-3606.279750875005,14.141164421908105,3.440230481440333,2.9537418325672555,0.4864886488730779,16.470249481832493,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,95,development_primary,20523.266859125,23900.237723,-3376.9708638750017,14.129444665001092,21895.720249124995,25439.3,-3543.579750875004,13.92954896901646,3.440230481440333,2.961021891881072,0.4792085895592617,16.18389215132858,inherited FLOPs/peak and training clock; numerator not independently verified
v687_split_full,100,development_primary,20523.266859125,23961.906278,-3438.639418875002,14.350441817861958,21895.720249124995,25656.3,-3760.579750875004,14.65752953806669,3.440230481440333,2.935977682445643,0.5042527989946906,17.174953406820602,inherited FLOPs/peak and training clock; numerator not independently verified
v688_split_ensemble,60,posthoc_60_80_diagnostic,20591.468386625,22338.246915,-1746.7785283750018,7.819675980043224,21963.921776624997,23997.9,-2033.9782233750084,8.475650883514842,3.4295480096954205,3.138871493511105,0.2906765161843156,9.26054210200139,inherited FLOPs/peak and training clock; numerator not independently verified
v688_full4_ensemble,60,posthoc_60_80_diagnostic,20661.973107875,22338.246915,-1676.2738071250023,7.504052638971389,22034.426497875,23997.9,-1963.473502125005,8.18185550454417,3.418574303324601,3.138871493511105,0.2797028098134961,8.910935359785114,inherited FLOPs/peak and training clock; numerator not independently verified
