phase,predicted_ms,actual_ms,MAPE_pct,bias_ms
entry,1265.38821,1555.047693,18.45643395822048,-289.6594829999999
onef1b,19283.76732,21561.77079825,10.561625784327674,-2278.0034782500006
tail,1008.394726124996,743.2798102499992,35.78890164769504,265.1149158749969
outer,1372.45339,1630.5516985000004,15.579305630422718,-258.0983085000005
