domain,split,iterations,improved_iterations,persistent_sign_transitions,base_onef1b_MAPE_pct,updated_onef1b_MAPE_pct,delta_onef1b_MAPE_pp,base_remaining_MAPE_pct,updated_remaining_MAPE_pct,minimum_positive_symmetric_break_even_radius_ms,exact_one_sided_sign_test_p
source256,mixed_source_fit_development_90_100,3,1,1,0.29831988606909454,0.5174888619477002,0.21916897587860562,0.6589980360594618,1.1470961048099129,58.24149899999975,0.875
source256,source_current_development_95_100,2,1,1,0.3169238438674073,0.4734437687866526,0.15651992491924532,0.6934233999111533,1.0363001099339408,58.24149899999975,0.75
target224,target_development_90_100,3,3,3,1.9146521075626353,0.53642245815771,-1.3782296494049253,4.50860581714387,1.2629807867184033,183.9901369999934,0.125
