iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=1,16,16,1785477765026058723,1785477765026886772,1785477765038667292,1785477763358453380,1785477763359281429,1785477763371061949,11780520,11780520,29382466,30210515,148986880.0,828049,828049,12608569,12608569
55,0,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=1,16,16,1785477765074595964,1785477765077909588,1785477765089457742,1785477763406990621,1785477763410304245,1785477763421852399,11548154,11548154,22343911,23803866,148986880.0,3313624,3313624,14861778,14861778
55,0,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,16,1785477764788594100,1785477764911530568,1785477764935213996,1785477763073520384,1785477763243925225,1785477763267608653,23683428,23683428,0,0,4767580160.0,122936468,170404841,146619896,194088269
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1043,2,2,1785477765038663018,1785477765038677050,1785477765052222602,1785477763371057675,1785477763371071707,1785477763384617259,13545552,13545552,10520,17880,471859200.0,14032,14032,13559584,13559584
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1045,2,2,1785477765038655294,1785477765038698088,1785477765053385486,1785477763371049951,1785477763371092745,1785477763385780143,14687398,14687398,10680,35400,471859200.0,42794,42794,14730192,14730192
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1047,2,2,1785477765038655535,1785477765038660266,1785477765052383541,1785477763371050192,1785477763371054923,1785477763384778198,13723275,13723275,11080,11120,471859200.0,4731,4731,13728006,13728006
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1049,2,2,1785477765038656883,1785477765038678213,1785477765051878685,1785477763371051540,1785477763371072870,1785477763384273342,13200472,13200472,10800,10921,471859200.0,21330,21330,13221802,13221802
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1051,2,2,1785477765038664498,1785477765038710179,1785477765054356884,1785477763371059155,1785477763371104836,1785477763386751541,15646705,15646705,14040,60440,471859200.0,45681,45681,15692386,15692386
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1053,2,2,1785477765038616888,1785477765038675158,1785477765052452401,1785477763371011545,1785477763371069815,1785477763384847058,13777243,13777243,11120,11680,471859200.0,58270,58270,13835513,13835513
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1055,2,2,1785477765038653837,1785477765038667583,1785477765053241637,1785477763371048494,1785477763371062240,1785477763385636294,14574054,14574054,10880,16200,471859200.0,13746,13746,14587800,14587800
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1057,2,2,1785477765038652826,1785477765038658329,1785477765052252268,1785477763371047483,1785477763371052986,1785477763384646925,13593939,13593939,10720,10960,471859200.0,5503,5503,13599442,13599442
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1043,2,2,1785477765089445428,1785477765089463702,1785477765102735576,1785477763421840085,1785477763421858359,1785477763435130233,13271874,13271874,5960,10200,471859200.0,18274,18274,13290148,13290148
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1045,2,2,1785477765089442022,1785477765089461155,1785477765102711887,1785477763421836679,1785477763421855812,1785477763435106544,13250732,13250732,4400,10520,471859200.0,19133,19133,13269865,13269865
