iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,48,3,0,rank48:B3,1785477744809471652,16389634276,1785477761199105928,1785477762628967181,1785477762735531346,106564165,1785477761305670093
55,49,3,1,rank49:B3,1785477744808791856,16384630678,1785477761193422534,1785477762628738548,1785477762735572265,106833717,1785477761300256251
55,50,3,2,rank50:B3,1785477744808224865,16393676321,1785477761201901186,1785477762627901161,1785477762734581494,106680333,1785477761308581519
55,51,3,3,rank51:B3,1785477744811134701,16388145698,1785477761199280399,1785477762627540351,1785477762734479230,106938879,1785477761306219278
55,52,3,4,rank52:B3,1785477744808924105,16394418198,1785477761203342303,1785477762627849902,1785477762735132739,107282837,1785477761310625140
55,53,3,5,rank53:B3,1785477744808609781,16398290319,1785477761206900100,1785477762628691482,1785477762735180370,106488888,1785477761313388988
55,54,3,6,rank54:B3,1785477744808565246,16390088443,1785477761198653689,1785477762628416107,1785477762735053334,106637227,1785477761305290916
55,55,3,7,rank55:B3,1785477744808446696,16385644078,1785477761194090774,1785477762627652032,1785477762735767405,108115373,1785477761302206147
55,56,3,8,rank56:B3,1785477744808618037,16540825291,1785477761349443328,1785477762759788126,1785477762865079135,105291009,1785477761454734337
55,57,3,9,rank57:B3,1785477744808590481,16560299988,1785477761368890469,1785477762758561848,1785477762864964857,106403009,1785477761475293478
55,58,3,10,rank58:B3,1785477744809248162,16562519044,1785477761371767206,1785477762759247089,1785477762865018299,105771210,1785477761477538416
55,59,3,11,rank59:B3,1785477744809005006,16562889901,1785477761371894907,1785477762758622210,1785477762865412785,106790575,1785477761478685482
55,60,3,12,rank60:B3,1785477744809228982,16563286740,1785477761372515722,1785477762759933176,1785477762865537383,105604207,1785477761478119929
55,61,3,13,rank61:B3,1785477744808336642,16565044532,1785477761373381174,1785477762758870825,1785477762865729728,106858903,1785477761480240077
55,62,3,14,rank62:B3,1785477744808877140,16555166846,1785477761364043986,1785477762759057440,1785477762865611416,106553976,1785477761470597962
55,63,3,15,rank63:B3,1785477744809154297,16553778723,1785477761362933020,1785477762759022215,1785477762865667312,106645097,1785477761469578117
55,64,4,0,rank64:B3,1785477744809471652,15636602268,1785477760446073920,1785477761783949946,1785477761918737806,134787860,1785477760580861780
55,65,4,1,rank65:B3,1785477744808791856,15632897738,1785477760441689594,1785477761783724642,1785477761918543286,134818644,1785477760576508238
55,66,4,2,rank66:B3,1785477744808224865,15643428193,1785477760451653058,1785477761784000526,1785477761918511228,134510702,1785477760586163760
55,67,4,3,rank67:B3,1785477744811134701,15639169646,1785477760450304347,1785477761785068779,1785477761918891866,133823087,1785477760584127434
55,68,4,4,rank68:B3,1785477744808924105,15644015465,1785477760452939570,1785477761783531263,1785477761918360591,134829328,1785477760587768898
55,69,4,5,rank69:B3,1785477744808609781,15647007537,1785477760455617318,1785477761784661198,1785477761918236118,133574920,1785477760589192238
55,70,4,6,rank70:B3,1785477744808565246,15640475721,1785477760449040967,1785477761784001966,1785477761920085473,136083507,1785477760585124474
55,71,4,7,rank71:B3,1785477744808446696,15636756489,1785477760445203185,1785477761783921820,1785477761919784541,135862721,1785477760581065906
55,72,4,8,rank72:B3,1785477744808618037,15842786448,1785477760651404485,1785477761968262521,1785477762075080914,106818393,1785477760758222878
55,73,4,9,rank73:B3,1785477744808590481,15863302054,1785477760671892535,1785477761968213298,1785477762074882617,106669319,1785477760778561854
55,74,4,10,rank74:B3,1785477744809248162,15864677714,1785477760673925876,1785477761967711095,1785477762074427238,106716143,1785477760780642019
55,75,4,11,rank75:B3,1785477744809005006,15865725305,1785477760674730311,1785477761967633716,1785477762074192120,106558404,1785477760781288715
55,76,4,12,rank76:B3,1785477744809228982,15865063049,1785477760674292031,1785477761967992908,1785477762074724190,106731282,1785477760781023313
55,77,4,13,rank77:B3,1785477744808336642,15867644894,1785477760675981536,1785477761967951084,1785477762074364583,106413499,1785477760782395035
55,78,4,14,rank78:B3,1785477744808877140,15857832054,1785477760666709194,1785477761968004914,1785477762074523852,106518938,1785477760773228132
55,79,4,15,rank79:B3,1785477744809154297,15856852368,1785477760666006665,1785477761968866545,1785477762074855817,105989272,1785477760771995937
55,80,5,0,rank80:B3,1785477744809471652,14930297613,1785477759739769265,1785477760982297642,1785477761099146055,116848413,1785477759856617678
55,81,5,1,rank81:B3,1785477744808791856,14925697167,1785477759734489023,1785477760981782014,1785477761096977652,115195638,1785477759849684661
55,82,5,2,rank82:B3,1785477744808224865,14934525909,1785477759742750774,1785477760981612412,1785477761096308060,114695648,1785477759857446422
55,83,5,3,rank83:B3,1785477744811134701,14928330551,1785477759739465252,1785477760981893066,1785477761096860220,114967154,1785477759854432406
55,84,5,4,rank84:B3,1785477744808924105,14935632798,1785477759744556903,1785477760981673972,1785477761095825794,114151822,1785477759858708725
55,85,5,5,rank85:B3,1785477744808609781,14938091213,1785477759746700994,1785477760982414557,1785477761095609523,113194966,1785477759859895960
55,86,5,6,rank86:B3,1785477744808565246,14932396233,1785477759740961479,1785477760981688637,1785477761096248624,114559987,1785477759855521466
55,87,5,7,rank87:B3,1785477744808446696,14929007375,1785477759737454071,1785477760982220747,1785477761096867170,114646423,1785477759852100494
55,88,5,8,rank88:B3,1785477744808618037,15138605179,1785477759947223216,1785477761170113291,1785477761276804757,106691466,1785477760053914682
55,89,5,9,rank89:B3,1785477744808590481,15159142816,1785477759967733297,1785477761171427010,1785477761276993300,105566290,1785477760073299587
55,90,5,10,rank90:B3,1785477744809248162,15160565737,1785477759969813899,1785477761170248551,1785477761276703618,106455067,1785477760076268966
55,91,5,11,rank91:B3,1785477744809005006,15161598817,1785477759970603823,1785477761170129242,1785477761276121527,105992285,1785477760076596108
55,92,5,12,rank92:B3,1785477744809228982,15161287314,1785477759970516296,1785477761170068420,1785477761277103348,107034928,1785477760077551224
55,93,5,13,rank93:B3,1785477744808336642,15163594674,1785477759971931316,1785477761170080119,1785477761276728842,106648723,1785477760078580039
55,94,5,14,rank94:B3,1785477744808877140,15153861900,1785477759962739040,1785477761170724109,1785477761276907181,106183072,1785477760068922112
55,95,5,15,rank95:B3,1785477744809154297,15151793187,1785477759960947484,1785477761170145500,1785477761276533306,106387806,1785477760067335290
55,96,6,0,rank96:B3,1785477744809471652,14218754952,1785477759028226604,1785477760175889677,1785477760305299233,129409556,1785477759157636160
55,97,6,1,rank97:B3,1785477744808791856,14213409179,1785477759022201035,1785477760175716787,1785477760304391256,128674469,1785477759150875504
55,98,6,2,rank98:B3,1785477744808224865,14222937308,1785477759031162173,1785477760175986558,1785477760304445348,128458790,1785477759159620963
