scenario,evidence_level,world_size,pipeline_parallel_size,predicted_profiler_step_ms,predicted_training_log_ms,predicted_mfu_pct
256gpu_pp16_trace_replay,in_sample_iteration55,256,16,21616.235827,22918.240402,4.410689399661704
224gpu_pp14_omit_01_07,structural_extrapolation_with_fabric_validation,224,14,21871.512329,23173.516904,3.2505348465742805
