iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,48,3,0,rank48:B3,1785477744809471652,17703582506,1785477762513054158,1785477761783949946,1785477761918737806,134787860,1785477762647842018
55,49,3,1,rank49:B3,1785477744808791856,17699190518,1785477762507982374,1785477761783724642,1785477761918543286,134818644,1785477762642801018
55,50,3,2,rank50:B3,1785477744808224865,17710979264,1785477762519204129,1785477761784000526,1785477761918511228,134510702,1785477762653714831
55,51,3,3,rank51:B3,1785477744811134701,17707358004,1785477762518492705,1785477761785068779,1785477761918891866,133823087,1785477762652315792
55,52,3,4,rank52:B3,1785477744808924105,17712287012,1785477762521211117,1785477761783531263,1785477761918360591,134829328,1785477762656040445
55,53,3,5,rank53:B3,1785477744808609781,17715413354,1785477762524023135,1785477761784661198,1785477761918236118,133574920,1785477762657598055
55,54,3,6,rank54:B3,1785477744808565246,17706816868,1785477762515382114,1785477761784001966,1785477761920085473,136083507,1785477762651465621
55,55,3,7,rank55:B3,1785477744808446696,17703820628,1785477762512267324,1785477761783921820,1785477761919784541,135862721,1785477762648130045
55,56,3,8,rank56:B3,1785477744808618037,17880313260,1785477762688931297,1785477761968262521,1785477762075080914,106818393,1785477762795749690
55,57,3,9,rank57:B3,1785477744808590481,17901334252,1785477762709924733,1785477761968213298,1785477762074882617,106669319,1785477762816594052
55,58,3,10,rank58:B3,1785477744809248162,17902310550,1785477762711558712,1785477761967711095,1785477762074427238,106716143,1785477762818274855
55,59,3,11,rank59:B3,1785477744809005006,17904886634,1785477762713891640,1785477761967633716,1785477762074192120,106558404,1785477762820450044
55,60,3,12,rank60:B3,1785477744809228982,17902328704,1785477762711557686,1785477761967992908,1785477762074724190,106731282,1785477762818288968
55,61,3,13,rank61:B3,1785477744808336642,17904758396,1785477762713095038,1785477761967951084,1785477762074364583,106413499,1785477762819508537
55,62,3,14,rank62:B3,1785477744808877140,17893597399,1785477762702474539,1785477761968004914,1785477762074523852,106518938,1785477762808993477
55,63,3,15,rank63:B3,1785477744809154297,17896470613,1785477762705624910,1785477761968866545,1785477762074855817,105989272,1785477762811614182
55,64,4,0,rank64:B3,1785477744809471652,16795017744,1785477761604489396,1785477760982297642,1785477761099146055,116848413,1785477761721337809
55,65,4,1,rank65:B3,1785477744808791856,16789703714,1785477761598495570,1785477760981782014,1785477761096977652,115195638,1785477761713691208
55,66,4,2,rank66:B3,1785477744808224865,16799603790,1785477761607828655,1785477760981612412,1785477761096308060,114695648,1785477761722524303
55,67,4,3,rank67:B3,1785477744811134701,16793587537,1785477761604722238,1785477760981893066,1785477761096860220,114967154,1785477761719689392
55,68,4,4,rank68:B3,1785477744808924105,16801357193,1785477761610281298,1785477760981673972,1785477761095825794,114151822,1785477761724433120
55,69,4,5,rank69:B3,1785477744808609781,16803862436,1785477761612472217,1785477760982414557,1785477761095609523,113194966,1785477761725667183
55,70,4,6,rank70:B3,1785477744808565246,16796359271,1785477761604924517,1785477760981688637,1785477761096248624,114559987,1785477761719484504
55,71,4,7,rank71:B3,1785477744808446696,16793734742,1785477761602181438,1785477760982220747,1785477761096867170,114646423,1785477761716827861
55,72,4,8,rank72:B3,1785477744808618037,16974486730,1785477761783104767,1785477761170113291,1785477761276804757,106691466,1785477761889796233
55,73,4,9,rank73:B3,1785477744808590481,16995201643,1785477761803792124,1785477761171427010,1785477761276993300,105566290,1785477761909358414
55,74,4,10,rank74:B3,1785477744809248162,16996737710,1785477761805985872,1785477761170248551,1785477761276703618,106455067,1785477761912440939
55,75,4,11,rank75:B3,1785477744809005006,16999374706,1785477761808379712,1785477761170129242,1785477761276121527,105992285,1785477761914371997
55,76,4,12,rank76:B3,1785477744809228982,16997213236,1785477761806442218,1785477761170068420,1785477761277103348,107034928,1785477761913477146
55,77,4,13,rank77:B3,1785477744808336642,16999322343,1785477761807658985,1785477761170080119,1785477761276728842,106648723,1785477761914307708
55,78,4,14,rank78:B3,1785477744808877140,16988262586,1785477761797139726,1785477761170724109,1785477761276907181,106183072,1785477761903322798
55,79,4,15,rank79:B3,1785477744809154297,16989782719,1785477761798937016,1785477761170145500,1785477761276533306,106387806,1785477761905324822
55,80,5,0,rank80:B3,1785477744809471652,15880403908,1785477760689875560,1785477760175889677,1785477760305299233,129409556,1785477760819285116
55,81,5,1,rank81:B3,1785477744808791856,15874344124,1785477760683135980,1785477760175716787,1785477760304391256,128674469,1785477760811810449
55,82,5,2,rank82:B3,1785477744808224865,15885127312,1785477760693352177,1785477760175986558,1785477760304445348,128458790,1785477760821810967
55,83,5,3,rank83:B3,1785477744811134701,15878715425,1785477760689850126,1785477760176105232,1785477760304224397,128119165,1785477760817969291
55,84,5,4,rank84:B3,1785477744808924105,15886840787,1785477760695764892,1785477760176204886,1785477760304652390,128447504,1785477760824212396
55,85,5,5,rank85:B3,1785477744808609781,15888632254,1785477760697242035,1785477760176861855,1785477760304761381,127899526,1785477760825141561
55,86,5,6,rank86:B3,1785477744808565246,15882172507,1785477760690737753,1785477760176112467,1785477760304590902,128478435,1785477760819216188
55,87,5,7,rank87:B3,1785477744808446696,15877370961,1785477760685817657,1785477760175806072,1785477760305169111,129363039,1785477760815180696
55,88,5,8,rank88:B3,1785477744808618037,16081944461,1785477760890562498,1785477760382928238,1785477760490397274,107469036,1785477760998031534
55,89,5,9,rank89:B3,1785477744808590481,16100732604,1785477760909323085,1785477760383818542,1785477760490374749,106556207,1785477761015879292
55,90,5,10,rank90:B3,1785477744809248162,16103860867,1785477760913109029,1785477760383145375,1785477760489780623,106635248,1785477761019744277
55,91,5,11,rank91:B3,1785477744809005006,16106692431,1785477760915697437,1785477760383269213,1785477760489924669,106655456,1785477761022352893
55,92,5,12,rank92:B3,1785477744809228982,16105726332,1785477760914955314,1785477760383543090,1785477760491116487,107573397,1785477761022528711
55,93,5,13,rank93:B3,1785477744808336642,16107015086,1785477760915351728,1785477760384883421,1785477760490010300,105126879,1785477761020478607
55,94,5,14,rank94:B3,1785477744808877140,16096143066,1785477760905020206,1785477760383862709,1785477760491001110,107138401,1785477761012158607
55,95,5,15,rank95:B3,1785477744809154297,16098604693,1785477760907758990,1785477760385215107,1785477760491316133,106101026,1785477761013860016
55,96,6,0,rank96:B3,1785477744809471652,14979506750,1785477759788978402,1785477758599591196,1785477758705816027,106224831,1785477759895203233
55,97,6,1,rank97:B3,1785477744808791856,14972895144,1785477759781687000,1785477758600259544,1785477758705986927,105727383,1785477759887414383
55,98,6,2,rank98:B3,1785477744808224865,14982768377,1785477759790993242,1785477758601563627,1785477758706666118,105102491,1785477759896095733
55,99,6,3,rank99:B3,1785477744811134701,14976649131,1785477759787783832,1785477758599332708,1785477758706578795,107246087,1785477759895029919
55,100,6,4,rank100:B3,1785477744808924105,14984217606,1785477759793141711,1785477758599117030,1785477758705465206,106348176,1785477759899489887
55,101,6,5,rank101:B3,1785477744808609781,14984281667,1785477759792891448,1785477758600005884,1785477758705965701,105959817,1785477759898851265
55,102,6,6,rank102:B3,1785477744808565246,14974736969,1785477759783302215,1785477758599070563,1785477758704979238,105908675,1785477759889210890
55,103,6,7,rank103:B3,1785477744808446696,14975402321,1785477759783849017,1785477758599926018,1785477758705539020,105613002,1785477759889462019
55,104,6,8,rank104:B3,1785477744808618037,15181638204,1785477759990256241,1785477758809177907,1785477758914810095,105632188,1785477760095888429
55,105,6,9,rank105:B3,1785477744808590481,15198846278,1785477760007436759,1785477758808955543,1785477758915402967,106447424,1785477760113884183
55,106,6,10,rank106:B3,1785477744809248162,15201798650,1785477760011046812,1785477758808960005,1785477758914888506,105928501,1785477760116975313
