line_number,evidence_kind,field,value_literal,source_line_sha256,excerpt,deployment_revision_independently_verified,source_path,source_sha256
94,runtime_config_dump,batch_p2p_comm,True,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,batch_p2p_comm = True,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,batch_p2p_sync,True,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,batch_p2p_sync = True,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,num_layers,60,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,num_layers = 60,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,mtp_num_layers,None,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,mtp_num_layers = None,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,hidden_size,5120,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,hidden_size = 5120,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,num_attention_heads,128,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,num_attention_heads = 128,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,ffn_hidden_size,12288,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,ffn_hidden_size = 12288,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,moe_deepep_num_sms,20,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,moe_deepep_num_sms = 20,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,bias_dropout_fusion,False,576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,bias_dropout_fusion = False,False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
94,runtime_config_dump,recompute_granularity,'full',576c5fca0afedcd298016178ca13bc9d7fecc2dbb42a68500d209a34bdc3b25e,recompute_granularity = 'full',False,/home/zjb/gbs64/framework_256_gbs_64/2026-07-31-13_40/worker33008/2026-07-31_1340/tp1_pp16_dp_mbs2_numbs_gbs64_gpus0_mtp1_forcelbfalse_pertensorfalse_NO_LOSS_REDUCE.RANK2.10.124.33.8.log,20961abebb4b8cb082a393cfacacc0540e374d9e423045a7a072235029ffcb38
