iteration,pp_stage,rank,behavior,kind,round,group_key,group_size,start_ns,end_ns,group_first_start_ns,group_ready_ns,group_end_ns,arrival_wait_ns,service_ns,completion_advance_ns,observed_ranks,payload_bytes
5,0,0,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680775373249,1785476680894447010,1785476680775351721,1785476680871055629,1785476680894525496,95682380,23469867,78486,16,4767580160
5,0,1,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680775351721,1785476680894451574,1785476680775351721,1785476680871055629,1785476680894525496,95703908,23469867,73922,16,4767580160
5,0,2,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680777240854,1785476680894448258,1785476680775351721,1785476680871055629,1785476680894525496,93814775,23469867,77238,16,4767580160
5,0,3,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680777791295,1785476680894451477,1785476680775351721,1785476680871055629,1785476680894525496,93264334,23469867,74019,16,4767580160
5,0,4,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680777678201,1785476680894439107,1785476680775351721,1785476680871055629,1785476680894525496,93377428,23469867,86389,16,4767580160
5,0,5,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680777758078,1785476680894448765,1785476680775351721,1785476680871055629,1785476680894525496,93297551,23469867,76731,16,4767580160
5,0,6,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680778532490,1785476680894450692,1785476680775351721,1785476680871055629,1785476680894525496,92523139,23469867,74804,16,4767580160
5,0,7,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680778562950,1785476680894443518,1785476680775351721,1785476680871055629,1785476680894525496,92492679,23469867,81978,16,4767580160
5,0,8,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680870143642,1785476680894525496,1785476680775351721,1785476680871055629,1785476680894525496,911987,23469867,0,16,4767580160
5,0,9,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680869854856,1785476680894469024,1785476680775351721,1785476680871055629,1785476680894525496,1200773,23469867,56472,16,4767580160
5,0,10,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680869881411,1785476680894521451,1785476680775351721,1785476680871055629,1785476680894525496,1174218,23469867,4045,16,4767580160
5,0,11,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680870247723,1785476680894513768,1785476680775351721,1785476680871055629,1785476680894525496,807906,23469867,11728,16,4767580160
5,0,12,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680871055629,1785476680894519637,1785476680775351721,1785476680871055629,1785476680894525496,0,23469867,5859,16,4767580160
5,0,13,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680870442117,1785476680894480064,1785476680775351721,1785476680871055629,1785476680894525496,613512,23469867,45432,16,4767580160
5,0,14,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680869138140,1785476680894507046,1785476680775351721,1785476680871055629,1785476680894525496,1917489,23469867,18450,16,4767580160
5,0,15,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=1,16,1785476680869347458,1785476680894465467,1785476680775351721,1785476680871055629,1785476680894525496,1708171,23469867,60029,16,4767580160
5,0,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1043,2,1785476681001509699,1785476681014952376,1785476681001509699,1785476681001521492,1785476681014988521,11793,13467029,36145,2,471859200
5,0,8,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1043,2,1785476681001521492,1785476681014988521,1785476681001509699,1785476681001521492,1785476681014988521,0,13467029,0,2,471859200
5,0,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1045,2,1785476681001512935,1785476681015441017,1785476681001512935,1785476681001547461,1785476681015465733,34526,13918272,24716,2,471859200
5,0,9,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1045,2,1785476681001547461,1785476681015465733,1785476681001512935,1785476681001547461,1785476681015465733,0,13918272,0,2,471859200
5,0,2,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1047,2,1785476681001506108,1785476681016080758,1785476681001506108,1785476681001520437,1785476681016100964,14329,14580527,20206,2,471859200
5,0,10,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1047,2,1785476681001520437,1785476681016100964,1785476681001506108,1785476681001520437,1785476681016100964,0,14580527,0,2,471859200
5,0,3,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1049,2,1785476681001510857,1785476681017414805,1785476681001509659,1785476681001510857,1785476681017418074,0,15907217,3269,2,471859200
5,0,11,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1049,2,1785476681001509659,1785476681017418074,1785476681001509659,1785476681001510857,1785476681017418074,1198,15907217,0,2,471859200
5,0,4,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1051,2,1785476681001476392,1785476681016145665,1785476681001476392,1785476681001569044,1785476681016167428,92652,14598384,21763,2,471859200
5,0,12,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1051,2,1785476681001569044,1785476681016167428,1785476681001476392,1785476681001569044,1785476681016167428,0,14598384,0,2,471859200
5,0,5,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1053,2,1785476681001511621,1785476681015082824,1785476681001511621,1785476681001563202,1785476681015115200,51581,13551998,32376,2,471859200
5,0,13,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1053,2,1785476681001563202,1785476681015115200,1785476681001511621,1785476681001563202,1785476681015115200,0,13551998,0,2,471859200
5,0,6,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1055,2,1785476681001533694,1785476681017103164,1785476681001508857,1785476681001533694,1785476681017141202,0,15607508,38038,2,471859200
5,0,14,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1055,2,1785476681001508857,1785476681017141202,1785476681001508857,1785476681001533694,1785476681017141202,24837,15607508,0,2,471859200
5,0,7,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1057,2,1785476681001528424,1785476681015852060,1785476681001521924,1785476681001528424,1785476681015883174,0,14354750,31114,2,471859200
5,0,15,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1057,2,1785476681001521924,1785476681015883174,1785476681001521924,1785476681001528424,1785476681015883174,6500,14354750,0,2,471859200
5,0,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1043,2,1785476681052489560,1785476681065961798,1785476681052489560,1785476681052554902,1785476681065967025,65342,13412123,5227,2,471859200
5,0,8,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1043,2,1785476681052554902,1785476681065967025,1785476681052489560,1785476681052554902,1785476681065967025,0,13412123,0,2,471859200
5,0,1,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1045,2,1785476681052527058,1785476681066106825,1785476681052527058,1785476681052537904,1785476681066145134,10846,13607230,38309,2,471859200
5,0,9,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1045,2,1785476681052537904,1785476681066145134,1785476681052527058,1785476681052537904,1785476681066145134,0,13607230,0,2,471859200
