iteration,rank,pp_stage,pp_lane,predecessor_node_id,predicted_lane_origin_ns,predicted_backward_done_relative_ns,predicted_backward_done_ns,observed_backward_done_ns,observed_first_rs_start_ns,measured_tail_launch_lag_ns,predicted_start_ns
55,48,3,0,rank48:B3,1785477744809471652,17791591936,1785477762601063588,1785477762628967181,1785477762735531346,106564165,1785477762707627753
55,49,3,1,rank49:B3,1785477744808791856,17786588338,1785477762595380194,1785477762628738548,1785477762735572265,106833717,1785477762702213911
55,50,3,2,rank50:B3,1785477744808224865,17795633981,1785477762603858846,1785477762627901161,1785477762734581494,106680333,1785477762710539179
55,51,3,3,rank51:B3,1785477744811134701,17790103358,1785477762601238059,1785477762627540351,1785477762734479230,106938879,1785477762708176938
55,52,3,4,rank52:B3,1785477744808924105,17796375858,1785477762605299963,1785477762627849902,1785477762735132739,107282837,1785477762712582800
55,53,3,5,rank53:B3,1785477744808609781,17800247979,1785477762608857760,1785477762628691482,1785477762735180370,106488888,1785477762715346648
55,54,3,6,rank54:B3,1785477744808565246,17792046103,1785477762600611349,1785477762628416107,1785477762735053334,106637227,1785477762707248576
55,55,3,7,rank55:B3,1785477744808446696,17787601738,1785477762596048434,1785477762627652032,1785477762735767405,108115373,1785477762704163807
55,56,3,8,rank56:B3,1785477744808618037,17905446856,1785477762714064893,1785477762759788126,1785477762865079135,105291009,1785477762819355902
55,57,3,9,rank57:B3,1785477744808590481,17923988485,1785477762732578966,1785477762758561848,1785477762864964857,106403009,1785477762838981975
55,58,3,10,rank58:B3,1785477744809248162,17927906884,1785477762737155046,1785477762759247089,1785477762865018299,105771210,1785477762842926256
55,59,3,11,rank59:B3,1785477744809005006,17929189950,1785477762738194956,1785477762758622210,1785477762865412785,106790575,1785477762844985531
55,60,3,12,rank60:B3,1785477744809228982,17927924828,1785477762737153810,1785477762759933176,1785477762865537383,105604207,1785477762842758017
55,61,3,13,rank61:B3,1785477744808336642,17929036388,1785477762737373030,1785477762758870825,1785477762865729728,106858903,1785477762844231933
55,62,3,14,rank62:B3,1785477744808877140,17918242461,1785477762727119601,1785477762759057440,1785477762865611416,106553976,1785477762833673577
55,63,3,15,rank63:B3,1785477744809154297,17919293994,1785477762728448291,1785477762759022215,1785477762865667312,106645097,1785477762835093388
55,64,4,0,rank64:B3,1785477744809471652,16945096084,1785477761754567736,1785477761783949946,1785477761918737806,134787860,1785477761889355596
55,65,4,1,rank65:B3,1785477744808791856,16941391554,1785477761750183410,1785477761783724642,1785477761918543286,134818644,1785477761885002054
55,66,4,2,rank66:B3,1785477744808224865,16951922009,1785477761760146874,1785477761784000526,1785477761918511228,134510702,1785477761894657576
55,67,4,3,rank67:B3,1785477744811134701,16947663462,1785477761758798163,1785477761785068779,1785477761918891866,133823087,1785477761892621250
55,68,4,4,rank68:B3,1785477744808924105,16952509281,1785477761761433386,1785477761783531263,1785477761918360591,134829328,1785477761896262714
55,69,4,5,rank69:B3,1785477744808609781,16955501353,1785477761764111134,1785477761784661198,1785477761918236118,133574920,1785477761897686054
55,70,4,6,rank70:B3,1785477744808565246,16948969537,1785477761757534783,1785477761784001966,1785477761920085473,136083507,1785477761893618290
55,71,4,7,rank71:B3,1785477744808446696,16945250305,1785477761753697001,1785477761783921820,1785477761919784541,135862721,1785477761889559722
55,72,4,8,rank72:B3,1785477744808618037,17113944169,1785477761922562206,1785477761968262521,1785477762075080914,106818393,1785477762029380599
55,73,4,9,rank73:B3,1785477744808590481,17133526707,1785477761942117188,1785477761968213298,1785477762074882617,106669319,1785477762048786507
55,74,4,10,rank74:B3,1785477744809248162,17136601710,1785477761945849872,1785477761967711095,1785477762074427238,106716143,1785477762052566015
55,75,4,11,rank75:B3,1785477744809005006,17138561510,1785477761947566516,1785477761967633716,1785477762074192120,106558404,1785477762054124920
55,76,4,12,rank76:B3,1785477744809228982,17136237293,1785477761945466275,1785477761967992908,1785477762074724190,106731282,1785477762052197557
55,77,4,13,rank77:B3,1785477744808336642,17138172906,1785477761946509548,1785477761967951084,1785477762074364583,106413499,1785477762052923047
55,78,4,14,rank78:B3,1785477744808877140,17127443825,1785477761936320965,1785477761968004914,1785477762074523852,106518938,1785477762042839903
55,79,4,15,rank79:B3,1785477744809154297,17128903795,1785477761938058092,1785477761968866545,1785477762074855817,105989272,1785477762044047364
55,80,5,0,rank80:B3,1785477744809471652,16145327585,1785477760954799237,1785477760982297642,1785477761099146055,116848413,1785477761071647650
55,81,5,1,rank81:B3,1785477744808791856,16140727139,1785477760949518995,1785477760981782014,1785477761096977652,115195638,1785477761064714633
55,82,5,2,rank82:B3,1785477744808224865,16149555881,1785477760957780746,1785477760981612412,1785477761096308060,114695648,1785477761072476394
55,83,5,3,rank83:B3,1785477744811134701,16143360523,1785477760954495224,1785477760981893066,1785477761096860220,114967154,1785477761069462378
