request_id,first_release_ns,last_release_ns,last_flow_end_ns,collective_elapsed_ns,arrival_span_ns,tail_after_last_release_ns,network_tail_after_last_release_ns,trace_calibration_residual_ns,software_residual_ns,simulator_bias_correction_ns,rank_network_done_offsets_ns,source,simulator_commit,topology_hash
iter55:pp13:dp_rs:round0:dp_grad_reduce_scatter:pg=27:rel-1544ad2743d2,0,175227794,191108595,191108595,175227794,15880801,16864635,-983834,0,-983834,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp14:dp_rs:round0:dp_grad_reduce_scatter:pg=29:rel-420c95dd30c3,0,174932588,192124971,192124971,174932588,17192383,16864635,327748,327748,0,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp15:dp_rs:round0:dp_grad_reduce_scatter:pg=31:rel-644a1bf96e16,0,166305007,193260770,193260770,166305007,26955763,22469071,4486692,4486692,0,,oisa_representative_linear+trace_calibration_residual:iter55_dp_grad_reduce_scatter_g13_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043:rel-3edb6df10d0f,0,69231,48059116,48059116,69231,47989885,19958643,28031242,28031242,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045:rel-060f3f97d24e,0,60557,55941550,55941550,60557,55880993,19958643,35922350,35922350,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047:rel-add20bb4a986,0,17466,54139140,54139140,17466,54121674,19958643,34163031,34163031,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049:rel-45e0ac40d9fe,0,106936,56696555,56696555,106936,56589619,19958643,36630976,36630976,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051:rel-682953038fbf,0,64399,56598298,56598298,64399,56533899,19958643,36575256,36575256,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1053:rel-1b037775be66,0,27798,54347087,54347087,27798,54319289,19958643,34360646,34360646,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1055:rel-f1d65da828a2,0,65718,56514288,56514288,65718,56448570,19958643,36489927,36489927,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1057:rel-69f287cc15be,0,171775,48353127,48353127,171775,48181352,19958643,28222709,28222709,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1059:rel-2afe772e0e28,0,139395,208894704,208894704,139395,208755309,79834571,128920738,128920738,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1061:rel-bb3f7ab23c96,0,157720,212401244,212401244,157720,212243524,79834571,132408953,132408953,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1063:rel-24b1075fef7f,0,150900,210761264,210761264,150900,210610364,79834571,130775793,130775793,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1065:rel-d9659fa15c73,0,25110,208365141,208365141,25110,208340031,79834571,128505460,128505460,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1067:rel-b2c47db54841,0,378311,212597642,212597642,378311,212219331,79834571,132384760,132384760,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1069:rel-ce6031e473de,0,7047,207597237,207597237,7047,207590190,79834571,127755619,127755619,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1071:rel-811b79c8a7f4,0,523118,215284211,215284211,523118,214761093,79834571,134926522,134926522,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp1:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1073:rel-5255528a9a39,0,123097,209457428,209457428,123097,209334331,79834571,129499760,129499760,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1075:rel-16df77b952d7,0,107951,203219160,203219160,107951,203111209,79834571,123276638,123276638,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1077:rel-5dca908e0c6b,0,131796,211490773,211490773,131796,211358977,79834571,131524406,131524406,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1079:rel-7eb527922249,0,114666,210249138,210249138,114666,210134472,79834571,130299901,130299901,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1081:rel-1e09968b6ab3,0,115419,211543104,211543104,115419,211427685,79834571,131593114,131593114,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1083:rel-fc7ba47441c8,0,410143,210541192,210541192,410143,210131049,79834571,130296478,130296478,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1085:rel-46b0ad4b264e,0,89522,212531141,212531141,89522,212441619,79834571,132607048,132607048,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1087:rel-e54eca9bcd4a,0,21982,209082750,209082750,21982,209060768,79834571,129226197,129226197,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp2:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1089:rel-f804234bc0bb,0,82873,211035809,211035809,82873,210952936,79834571,131118365,131118365,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1091:rel-f2ce49c10662,0,547330,208431381,208431381,547330,207884051,79834571,128049480,128049480,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1093:rel-c786080df1db,0,142007,217930213,217930213,142007,217788206,79834571,137953635,137953635,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1095:rel-890695343734,0,353210,208252445,208252445,353210,207899235,79834571,128064664,128064664,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1097:rel-5d4ec32402ec,0,265792,226624348,226624348,265792,226358556,79834571,146523985,146523985,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1099:rel-ddb1960efb5b,0,164158,208623305,208623305,164158,208459147,79834571,128624576,128624576,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1101:rel-b7f20d5b1645,0,64962,209320631,209320631,64962,209255669,79834571,129421098,129421098,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
iter55:pp3:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1103:rel-266b59edc53c,0,83763,208092290,208092290,83763,208008527,79834571,128173956,128173956,0,,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,1fb9fa6cd750b63b3358f6b0ff5d8167de4143d1,e9503e0eaf5bc80efd66ae95b5f09e68643725069d654082f374ec03f8b46a88
