iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,completion_model,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1057,2,2,1785477765038652826,1785477765038658329,1785477765052252268,1785477765016793037,1785477765016798540,1785477765030392479,13593939,13593939,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1057,iter55:pp0:edp_ag0:round0:expert_dp_param_allgather:pg=1057:rel-6bb0604e8791,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13599442,13593939,13599442,trace_group_end_lag_clamped,10720,10960,471859200.0,5503,5503,13599442,13599442
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1043,2,2,1785477765089445428,1785477765089463702,1785477765102735576,1785477765067585639,1785477765067603913,1785477765080875787,13271874,13271874,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1043,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1043:rel-241f7ef3644e,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13290148,13271874,13290148,trace_group_end_lag_clamped,5960,10200,471859200.0,18274,18274,13290148,13290148
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1045,2,2,1785477765089442022,1785477765089461155,1785477765102711887,1785477765067582233,1785477765067601366,1785477765080852098,13250732,13250732,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1045,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1045:rel-dfa3503839cf,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13269865,13250732,13269865,trace_group_end_lag_clamped,4400,10520,471859200.0,19133,19133,13269865,13269865
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1047,2,2,1785477765089442784,1785477765089470407,1785477765104056327,1785477765067582995,1785477765067610618,1785477765082196538,14585920,14585920,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1047,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1047:rel-5c6a5ac45538,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,14613543,14585920,14613543,trace_group_end_lag_clamped,24840,27520,471859200.0,27623,27623,14613543,14613543
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1049,2,2,1785477765089443723,1785477765089462027,1785477765103394806,1785477765067583934,1785477765067602238,1785477765081535017,13932779,13932779,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1049,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1049:rel-f1ee8da6f248,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13951083,13932779,13951083,trace_group_end_lag_clamped,4560,12920,471859200.0,18304,18304,13951083,13951083
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1051,2,2,1785477765089462626,1785477765089477491,1785477765105489414,1785477765067602837,1785477765067617702,1785477765083629625,16011923,16011923,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1051,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1051:rel-d389b0487db2,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,16026788,16011923,16026788,trace_group_end_lag_clamped,19760,21320,471859200.0,14865,14865,16026788,16026788
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1053,2,2,1785477765089404729,1785477765089505916,1785477765103150402,1785477765067544940,1785477765067646127,1785477765081290613,13644486,13644486,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1053,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1053:rel-43ee9ab24684,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13745673,13644486,13745673,trace_group_end_lag_clamped,9440,54200,471859200.0,101187,101187,13745673,13745673
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1055,2,2,1785477765089414293,1785477765089449412,1785477765102589341,1785477765067554504,1785477765067589623,1785477765080729552,13139929,13139929,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1055,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1055:rel-2f7e76052478,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,13175048,13139929,13175048,trace_group_end_lag_clamped,4480,9080,471859200.0,35119,35119,13175048,13175048
55,0,expert_dp_param_allgather,edp_ag1,1,expert_dp_param_allgather:pg=1057,2,2,1785477765089452690,1785477765089455583,1785477765104106348,1785477765067592901,1785477765067595794,1785477765082246559,14650765,14650765,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1057,iter55:pp0:edp_ag1:round1:expert_dp_param_allgather:pg=1057:rel-9ccc1afd2bcf,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_param_allgather_g43_slot1,14653658,14650765,14653658,trace_group_end_lag_clamped,9720,13600,471859200.0,2893,2893,14653658,14653658
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1043,2,2,1785477764939933722,1785477764940002953,1785477764987992838,1785477764918073933,1785477764918143164,1785477764966133049,47989885,47989885,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1043:rel-3edb6df10d0f,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,48059116,47989885,48059116,trace_group_end_lag_clamped,4752649,4828732,1887436800.0,69231,69231,48059116,48059116
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1045,2,2,1785477764940031096,1785477764940091653,1785477764995972646,1785477764918171307,1785477764918231864,1785477764974112857,55880993,55880993,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1045:rel-060f3f97d24e,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,55941550,55880993,55941550,trace_group_end_lag_clamped,4877291,4901184,1887436800.0,60557,60557,55941550,55941550
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1047,2,2,1785477764940033207,1785477764940050673,1785477764994172347,1785477764918173418,1785477764918190884,1785477764972312558,54121674,54121674,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1047:rel-add20bb4a986,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,54139140,54121674,54139140,trace_group_end_lag_clamped,4873894,4880537,1887436800.0,17466,17466,54139140,54139140
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1049,2,2,1785477764939967555,1785477764940074491,1785477764996664110,1785477764918107766,1785477764918214702,1785477764974804321,56589619,56589619,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1049:rel-45e0ac40d9fe,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,56696555,56589619,56696555,trace_group_end_lag_clamped,4807300,4882175,1887436800.0,106936,106936,56696555,56696555
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1051,2,2,1785477764940077959,1785477764940142358,1785477764996676257,1785477764918218170,1785477764918282569,1785477764974816468,56533899,56533899,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1051:rel-682953038fbf,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,56598298,56533899,56598298,trace_group_end_lag_clamped,4914171,4951033,1887436800.0,64399,64399,56598298,56598298
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1053,2,2,1785477764939921013,1785477764939948811,1785477764994268100,1785477764918061224,1785477764918089022,1785477764972408311,54319289,54319289,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1053,iter55:pp0:edp_rs:round0:expert_dp_grad_reduce_scatter:pg=1053:rel-1b037775be66,oisa_representative_linear+trace_calibration_residual:iter55_expert_dp_grad_reduce_scatter_g28_slot0,54347087,54319289,54347087,trace_group_end_lag_clamped,4734815,4795451,1887436800.0,27798,27798,54347087,54347087
