version,iteration,phase,predicted_ms,actual_ms,error_ms,APE_pct
v6.10,85,entry,1265.38821,1642.088634,-376.7004239999999,22.940322233543935
v6.10,85,onef1b,19283.76732,21393.263122,-2109.4958020000013,9.86056119615842
v6.10,85,tail,1008.394726124996,782.152911000001,226.24181512499501,28.925522355435522
v6.10,85,outer,1372.45339,1547.495332999999,-175.04194299999904,11.311306681659579
v6.10,90,entry,1265.38821,1504.160721,-238.7725109999999,15.874135500710226
v6.10,90,onef1b,19283.76732,21528.329899,-2244.5625790000013,10.42608780862403
v6.10,90,tail,1008.394726124996,728.2539179999985,280.14080812499753,38.467463229631136
v6.10,90,outer,1372.45339,1741.255462000001,-368.8020720000011,21.180239203752222
v6.10,95,entry,1265.38821,1605.572172,-340.18396199999984,21.187709150205666
v6.10,95,onef1b,19283.76732,21561.149446,-2277.3821260000004,10.562433750128744
v6.10,95,tail,1008.394726124996,733.5161049999988,274.87862112499727,37.474108509859875
v6.10,95,outer,1372.45339,1539.062277000001,-166.608887000001,10.825350571567606
v6.10,100,entry,1265.38821,1468.369245,-202.98103500000002,13.8235689484221
v6.10,100,onef1b,19283.76732,21764.340726,-2480.5734059999995,11.397420382399503
v6.10,100,tail,1008.394726124996,729.1963069999983,279.1984191249977,38.28851249585365
v6.10,100,outer,1372.45339,1694.3937220000007,-321.9403320000008,19.000326064711462
