variant,iteration,profiler_predicted_ms,profiler_actual_ms,profiler_error_ms,profiler_APE_pct,training_predicted_ms,training_actual_ms,training_error_ms,training_APE_pct,mfu_predicted_pct,mfu_actual_pct,mfu_relative_APE_pct,mfu_absolute_error_percentage_points,onef1b_predicted_ms,onef1b_actual_ms,onef1b_APE_pct
frozen_v685,85,21385.696422124995,23817.504667,-2431.8082448750065,10.210172219444816,22758.149812124997,25365.0,-2606.850187875003,10.277351420756961,3.309861514928515,2.9696954154989217,11.454578730675786,0.3401660994295934,19115.772914,21393.263122,10.645828993043688
frozen_v685,90,21385.696422124995,23760.744538,-2375.0481158750044,9.995680531292468,22758.149812124997,25502.0,-2743.850187875003,10.759352944376923,3.309861514928515,2.9537418325672555,12.056560882700328,0.35611968236125957,19115.772914,21528.329899,11.206428907019228
frozen_v685,95,21385.696422124995,23900.237723,-2514.541300875004,10.52098866136037,22758.149812124997,25439.3,-2681.1501878750023,10.539402373001625,3.309861514928515,2.961021891881072,11.781055182467199,0.3488396230474433,19115.772914,21561.149446,11.341587043512941
frozen_v685,100,21385.696422124995,23961.906278,-2576.209855875004,10.751272565656782,22758.149812124997,25656.3,-2898.1501878750023,11.296056671753146,3.309861514928515,2.935977682445643,12.734559759031624,0.37388383248287216,19115.772914,21764.340726,12.169299522296027
fine_both,85,21557.550256125,23817.504667,-2259.9544108750015,9.488627975399323,22930.003646124995,25365.0,-2434.9963538750053,9.5998279277548,3.285055047379364,2.9696954154989217,10.619258467874234,0.31535963188044214,19283.76732,21393.263122,9.86056119615842
fine_both,90,21557.550256125,23760.744538,-2203.1942818749994,9.27241264831362,22930.003646124995,25502.0,-2571.9963538750053,10.085469194082838,3.285055047379364,2.9537418325672555,11.216728935451552,0.3313132148121083,19283.76732,21528.329899,10.42608780862403
fine_both,95,21557.550256125,23900.237723,-2342.687466874999,9.801942114661697,22930.003646124995,25439.3,-2509.2963538750046,9.863857707857546,3.285055047379364,2.961021891881072,10.943288071823101,0.32403315549829204,19283.76732,21561.149446,10.562433750128744
fine_both,100,21557.550256125,23961.906278,-2404.356021874999,10.034076562942307,22930.003646124995,25656.3,-2726.2963538750046,10.626225737440723,3.285055047379364,2.935977682445643,11.889646403679151,0.3490773649337209,19283.76732,21764.340726,11.397420382399503
fine_exposed_only,85,21545.372326125,23817.504667,-2272.1323408749995,9.539758142771017,22917.825716125,25365.0,-2447.1742838749997,9.64783869061699,3.286800639256563,2.9696954154989217,10.67803863327736,0.3171052237576415,19270.651619,21393.263122,9.921868818680537
fine_exposed_only,90,21545.372326125,23760.744538,-2215.3722118749974,9.32366495642426,22917.825716125,25502.0,-2584.1742838749997,10.133222036997097,3.286800639256563,2.9537418325672555,11.275826580951673,0.33305880668930765,19270.651619,21528.329899,10.487010792717694
fine_exposed_only,95,21545.372326125,23900.237723,-2354.865396874997,9.852895289860783,22917.825716125,25439.3,-2521.474283874999,9.911728246748137,3.286800639256563,2.961021891881072,11.002240418037955,0.3257787473754914,19270.651619,21561.149446,10.623263999614501
fine_exposed_only,100,21545.372326125,23961.906278,-2416.533951874997,10.084898604639294,22917.825716125,25656.3,-2738.474283874999,10.673691389151978,3.286800639256563,2.935977682445643,11.949101619828658,0.35082295681092024,19270.651619,21764.340726,11.457682722367055
fine_overlap_only,85,21397.874352125,23817.504667,-2419.630314875001,10.159042052073092,22770.327742125,25365.0,-2594.6722578750014,10.229340657894742,3.3080913488468067,2.9696954154989217,11.39497106611632,0.338395933347885,19129.167366,21393.263122,10.583218385565925
fine_overlap_only,90,21397.874352125,23760.744538,-2362.870185874999,9.944428223181797,22770.327742125,25502.0,-2731.6722578750014,10.711600101462636,3.3080913488468067,2.9537418325672555,11.99663126860234,0.35434951627955114,19129.167366,21528.329899,11.144211112778613
fine_overlap_only,95,21397.874352125,23900.237723,-2502.3633708749985,10.470035486161255,22770.327742125,25439.3,-2668.9722578750007,10.491531834111004,3.3080913488468067,2.961021891881072,11.721272913158009,0.3470694569657349,19129.167366,21561.149446,11.279463954790113
fine_overlap_only,100,21397.874352125,23961.906278,-2564.0319258749987,10.700450523959764,22770.327742125,25656.3,-2885.9722578750007,11.248591020041863,3.3080913488468067,2.935977682445643,12.674267540453386,0.3721136664011637,19129.167366,21764.340726,12.10775641300258
