iteration,pp_stage,behavior,kind,round,group_key,group_size,observed_ranks,actual_first_start_ns,actual_ready_ns,actual_end_ns,predicted_first_start_ns,predicted_ready_ns,predicted_end_ns,baseline_service_ns,predicted_service_ns,dependency_lag_ns_min,dependency_lag_ns_max,payload_bytes,actual_arrival_skew_ns,predicted_arrival_skew_ns,actual_group_fct_ns,predicted_group_fct_ns
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1051,2,2,1785477764940077959,1785477764940142358,1785477764996676257,1785477764918218170,1785477764918282569,1785477764974816468,56533899,56533899,4914171,4951033,1887436800.0,64399,64399,56598298,56598298
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1053,2,2,1785477764939921013,1785477764939948811,1785477764994268100,1785477764918061224,1785477764918089022,1785477764972408311,54319289,54319289,4734815,4795451,1887436800.0,27798,27798,54347087,54347087
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1055,2,2,1785477764939992139,1785477764940057857,1785477764996506427,1785477764918132350,1785477764918198068,1785477764974646638,56448570,56448570,4881018,4899381,1887436800.0,65718,65718,56514288,56514288
55,0,expert_dp_grad_reduce_scatter,edp_rs,0,expert_dp_grad_reduce_scatter:pg=1057,2,2,1785477764939948843,1785477764940120618,1785477764988301970,1785477764918089054,1785477764918260829,1785477764966442181,48181352,48181352,4790855,4937776,1887436800.0,171775,171775,48353127,48353127
55,1,dp_param_allgather,dp_ag0,0,dp_param_allgather:pg=3,16,16,1785477765025421845,1785477765026731264,1785477765034387481,1785477765003562056,1785477765004871475,1785477765012527692,7656217,7656217,28745588,30055007,98621440.0,1309419,1309419,8965636,8965636
55,1,dp_param_allgather,dp_ag1,1,dp_param_allgather:pg=3,16,16,1785477765173108621,1785477765181842624,1785477765189167813,1785477765151248832,1785477765159982835,1785477765167308024,7325189,7325189,86088487,88506835,98621440.0,8734003,8734003,16059192,16059192
55,1,dp_grad_reduce_scatter,dp_rs,0,dp_grad_reduce_scatter:pg=3,16,16,1785477764374804854,1785477764495891676,1785477764511535011,1785477764341406489,1785477764472857090,1785477764488500425,15643335,15643335,0,0,3155886080.0,121086822,131450601,136730157,147093936
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1059,2,2,1785477765034375290,1785477765034385545,1785477765088913055,1785477765012515501,1785477765012525756,1785477765067053266,54527510,54527510,10681,38681,1887436800.0,10255,10255,54537765,54537765
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1061,2,2,1785477765034356786,1785477765034390895,1785477765088439750,1785477765012496997,1785477765012531106,1785477765066579961,54048855,54048855,10720,32040,1887436800.0,34109,34109,54082964,54082964
55,1,expert_dp_param_allgather,edp_ag0,0,expert_dp_param_allgather:pg=1063,2,2,1785477765034328876,1785477765034400841,1785477765086969498,1785477765012469087,1785477765012541052,1785477765065109709,52568657,52568657,12840,13360,1887436800.0,71965,71965,52640622,52640622
