direction,calibration_source,stage_filter,observations,observed_api_completion_ns_p10,observed_api_completion_ns_p50,observed_api_completion_ns_p90,network_service_ns,software_completion_ns,modeled_message_completion_ns
forward,network_service_only,all,0,4712346,4712346,4712346,4712346,0,4712346
backward,send_backward_user_annotation,1-14,848,97087085,98176190,99691173,4712346,93463844,98176190
