arrival_wait_ns,group_ready_ns,kind,behavior,group_size,service_ns,group_key,completion_advance_ns,round,end_ns,start_ns,group_end_ns,observed_ranks,group_first_start_ns,iteration,rank,pp_stage,payload_bytes,dependency,dependency_lag_ns,predicted_start_ns,predicted_group_ready_ns,predicted_group_first_start_ns,service_scale,fct_group_id,fct_request_id,fct_source,oisa_collective_elapsed_ns,oisa_arrival_span_ns,oisa_tail_after_last_release_ns,predicted_collective_elapsed_ns,predicted_service_ns,predicted_group_end_ns,provider_rank_done_offset_ns,predicted_completion_advance_ns,completion_model,predicted_end_ns
74099,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,18146,0,1785477765038649146,1785477765026812673,1785477765038667292,16,1785477765026058723,55,10,0,148986880,world_rs_done,30136416,1785477765004952884,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,18146,trace_group_end_lag_clamped,1785477765016789357
828049,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,21209,0,1785477765038646083,1785477765026058723,1785477765038667292,16,1785477765026058723,55,11,0,148986880,world_rs_done,29382466,1785477765004198934,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,21209,trace_group_end_lag_clamped,1785477765016786294
664917,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,17553,0,1785477765038649739,1785477765026221855,1785477765038667292,16,1785477765026058723,55,12,0,148986880,world_rs_done,29545598,1785477765004362066,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,17553,trace_group_end_lag_clamped,1785477765016789950
392113,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,61524,0,1785477765038605768,1785477765026494659,1785477765038667292,16,1785477765026058723,55,13,0,148986880,world_rs_done,29818402,1785477765004634870,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,61524,trace_group_end_lag_clamped,1785477765016745979
375354,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,15909,0,1785477765038651383,1785477765026511418,1785477765038667292,16,1785477765026058723,55,14,0,148986880,world_rs_done,29835161,1785477765004651629,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,15909,trace_group_end_lag_clamped,1785477765016791594
0,1785477765026886772,dp_ag0,dp_param_allgather,16,11780520,dp_param_allgather:pg=1,19683,0,1785477765038647609,1785477765026886772,1785477765038667292,16,1785477765026058723,55,15,0,148986880,world_rs_done,30210515,1785477765005026983,1785477765005026983,1785477765004198934,1.0,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1,iter55:pp0:dp_ag0:round0:dp_param_allgather:pg=1:rel-ca97c78e5f45,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,12608569,828049,11780520,12608569,11780520,1785477765016807503,-1,19683,trace_group_end_lag_clamped,1785477765016787820
3061404,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,0,1,1785477765089457742,1785477765074848184,1785477765089457742,16,1785477765074595964,55,0,0,148986880,same_rank_edp_ag0,22630339,1785477765052988395,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,0,trace_group_end_lag_clamped,1785477765067597953
2192154,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,987,1,1785477765089456755,1785477765075717434,1785477765089457742,16,1785477765074595964,55,1,0,148986880,same_rank_edp_ag0,22343911,1785477765053857645,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,987,trace_group_end_lag_clamped,1785477765067596966
2806652,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,39798,1,1785477765089417944,1785477765075102936,1785477765089457742,16,1785477765074595964,55,2,0,148986880,same_rank_edp_ag0,22719395,1785477765053243147,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,39798,trace_group_end_lag_clamped,1785477765067558155
3313624,1785477765077909588,dp_ag1,dp_param_allgather,16,11548154,dp_param_allgather:pg=1,275,1,1785477765089457467,1785477765074595964,1785477765089457742,16,1785477765074595964,55,3,0,148986880,same_rank_edp_ag0,22718616,1785477765052736175,1785477765056049799,1785477765052736175,1.0,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1,iter55:pp0:dp_ag1:round1:dp_param_allgather:pg=1:rel-a9165bc30096,oisa_representative_linear+trace_calibration_residual:iter55_dp_param_allgather_g12_slot1,14861778,3313624,11548154,14861778,11548154,1785477765067597953,-1,275,trace_group_end_lag_clamped,1785477765067597678
